\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
UDS & 13233 & 10.2278867046 & 0.9149 & 5.2800002 & 0.3 & 11.14 & 0.191 & 0.0489 & 43.4120538248 & 44.7009711474 & 1.35418366114 & 43.3456862466 & 44.9321078083 & -0.866853015524 & -8.87370304346 & -10.5199233863 & -10.204113781 \\
UDS & 718 & 9.94349451591 & 0.915 & 4.6199999 & 0.1 & 11.43 & 0.205 & 0.0031 & 42.5041066595 & 45.0113965617 & 1.66460907546 & 43.0378921576 & 44.547365197 & -1.25159562682 & -8.27888544045 & -9.92510578325 & -9.60929617803 \\
UDS & 8265 & 9.67486114074 & 0.9204 & 4.6199999 & 0.1 & 10.7 & 0.082 & 0.0031 & 41.7741066595 & 44.2813965617 & 0.934609075465 & 42.7904221576 & 44.238027697 & -1.56093312682 & -8.74025206527 & -10.3864724081 & -10.0706628029 \\
UDS & 14301 & 10.57863921 & 0.9205 & 3.96 & 0.1 & 11.42 & 0.498 & 0.0031 & 42.4941066595 & 45.0013965617 & 1.65460907546 & 43.0345021576 & 44.543127697 & -1.25583312682 & -8.92403013454 & -10.5702504773 & -10.2544408721 \\
UDS & 5962 & 10.4313637642 & 0.9208 & 4.6199999 & 0.5 & 11.52 & 0.441 & 0.1475 & 44.271536986 & 45.0334393534 & 1.68665186713 & 43.6370510383 & 45.2963137978 & -0.502647025969 & -8.74471189707 & -10.3909322399 & -10.0751226347 \\
UDS & 7924 & 9.35024801833 & 0.927 & 5.2800002 & 0.4 & 10.55 & 0.074 & 0.0916 & 43.0946404394 & 44.0910220912 & 0.744234605014 & 43.2380831089 & 44.7976038862 & -1.00135693761 & -8.60601341332 & -10.2522337561 & -9.9364241509 \\
UDS & 4250 & 9.49415459402 & 0.932 & 4.6199999 & 0.2 & 10.57 & 0.054 & 0.0194 & 42.4405466956 & 44.1442368546 & 0.797449368377 & 43.0163453298 & 44.5204316623 & -1.27852916152 & -8.69670522564 & -10.3429255684 & -10.0271159632 \\
UDS & 7384 & 10.1789769473 & 0.934 & 5.2800002 & 0.1 & 10.62 & 0.068 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 & -9.32436787184 & -10.9705882146 & -10.6547786094 \\
UDS & 1072 & 10.0934216852 & 0.934 & 4.6199999 & 0.1 & 11.44 & 0.229 & 0.0031 & 42.5141066595 & 45.0213965617 & 1.67460907546 & 43.0412821576 & 44.551602697 & -1.24735812682 & -8.41881260974 & -10.0650329525 & -9.74922334732 \\
UDS & 14401 & 9.59549622183 & 0.938 & 3.96 & 0.3 & 10.62 & 0.083 & 0.0489 & 42.8920538248 & 44.1809711474 & 0.834183661141 & 43.1694062466 & 44.7117578083 & -1.08720301552 & -8.76131256069 & -10.4075329035 & -10.0917232983 \\
UDS & 10413 & 10.0644579892 & 0.939 & 3.96 & 0.1 & 11.29 & 0.18 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 & -8.53984891374 & -10.1860692565 & -9.87025965132 \\
UDS & 8774 & 9.96848294855 & 0.94 & 3.5 & 0.5 & 10.92 & 0.106 & 0.1475 & 43.671536986 & 44.4334393534 & 1.08665186713 & 43.4336510383 & 45.0420637978 & -0.756897025969 & -8.88183108142 & -10.5280514242 & -10.212241819 \\
UDS & 9285 & 9.75204844782 & 0.942 & 4.6199999 & 0.2 & 10.65 & 0.066 & 0.0194 & 42.5205466956 & 44.2242368546 & 0.877449368377 & 43.0434653298 & 44.5543316623 & -1.24462916152 & -8.87459907944 & -10.5208194222 & -10.205009817 \\
UDS & 20338 & 10.2552725051 & 0.947 & 4.6199999 & 0.1 & 11.26 & 0.258 & 0.0031 & 42.3341066595 & 44.8413965617 & 1.49460907546 & 42.9802621576 & 44.475327697 & -1.32363312682 & -8.76066342964 & -10.4068837724 & -10.0910741672 \\
UDS & 11359 & 9.6294095991 & 0.951 & 7.2600002 & 0.4 & 10.68 & 0.096 & 0.0916 & 43.2246404394 & 44.2210220912 & 0.874234605014 & 43.2821531089 & 44.8526913862 & -0.946269437611 & -8.75517499409 & -10.4013953369 & -10.0855857317 \\
UDS & 15691 & 10.7497363156 & 0.952 & 5.2800002 & 0.1 & 11.45 & 0.404 & 0.0031 & 42.5241066595 & 45.0313965617 & 1.68460907546 & 43.0446721576 & 44.555840197 & -1.24312062682 & -9.06512724014 & -10.7113475829 & -10.3955379777 \\
UDS & 7515 & 9.29225607136 & 0.954 & 4.6199999 & 0.2 & 10.72 & 0.07 & 0.0194 & 42.5905466956 & 44.2942368546 & 0.947449368377 & 43.0671953298 & 44.5839941623 & -1.21496666152 & -8.34480670298 & -9.99102704579 & -9.67521744056 \\
UDS & 4115 & 10.3242824553 & 0.956 & 3.96 & 0.1 & 11.28 & 0.163 & 0.0031 & 42.3541066595 & 44.8613965617 & 1.51460907546 & 42.9870421576 & 44.483802697 & -1.31515812682 & -8.80967337984 & -10.4558937226 & -10.1400841174 \\
UDS & 25678 & 10.0334237555 & 0.959 & 4.6199999 & 0.1 & 11.07 & 0.106 & 0.0031 & 42.1441066595 & 44.6513965617 & 1.30460907546 & 42.9158521576 & 44.394815197 & -1.40414562682 & -8.72881468004 & -10.3750350228 & -10.0592254176 \\
UDS & 10004 & 9.76342799356 & 0.9599 & 5.2800002 & 0.1 & 10.66 & 0.07 & 0.0031 & 41.7341066595 & 44.2413965617 & 0.894609075465 & 42.7768621576 & 44.221077697 & -1.57788312682 & -8.8688189181 & -10.5150392609 & -10.1992296557 \\
UDS & 940 & 9.92324401863 & 0.961 & 4.6199999 & 0.1 & 10.86 & 0.107 & 0.0031 & 41.9341066595 & 44.4413965617 & 1.09460907546 & 42.8446621576 & 44.305827697 & -1.49313312682 & -8.82863494317 & -10.474855286 & -10.1590456808 \\
UDS & 5343 & 10.8709888138 & 0.963 & 4.6199999 & 0.5 & 11.38 & 0.528 & 0.1475 & 44.131536986 & 44.8934393534 & 1.54665186713 & 43.5895910383 & 45.2369887978 & -0.561972025969 & -9.32433694667 & -10.9705572895 & -10.6547476843 \\
UDS & 21024 & 10.1335389084 & 0.963 & 4.6199999 & 0.1 & 10.95 & 0.127 & 0.0031 & 42.0241066595 & 44.5313965617 & 1.18460907546 & 42.8751721576 & 44.343965197 & -1.45499562682 & -8.94892983294 & -10.5951501757 & -10.2793405705 \\
UDS & 1987 & 10.6532125138 & 0.963 & 5.2800002 & 0.2 & 11.5 & 0.224 & 0.0194 & 43.3705466956 & 45.0742368546 & 1.72744936838 & 43.3316153298 & 44.9145191623 & -0.884441661519 & -8.92576314542 & -10.5719834882 & -10.256173883 \\
UDS & 14525 & 9.59328606702 & 0.966 & 3.96 & 0.1 & 11.16 & 0.081 & 0.0031 & 42.2341066595 & 44.7413965617 & 1.39460907546 & 42.9463621576 & 44.432952697 & -1.36600812682 & -8.19867699156 & -9.84489733436 & -9.52908772914 \\
UDS & 9835 & 10.0644579892 & 0.967 & 4.6199999 & 0.1 & 11.41 & 0.158 & 0.0031 & 42.4841066595 & 44.9913965617 & 1.64460907546 & 43.0311121576 & 44.538890197 & -1.26007062682 & -8.41984891374 & -10.0660692565 & -9.75025965132 \\
UDS & 20745 & 9.7551122664 & 0.967 & 4.6199999 & 0.3 & 10.59 & 0.067 & 0.0489 & 42.8620538248 & 44.1509711474 & 0.804183661141 & 43.1592362466 & 44.6990453083 & -1.09991551552 & -8.95092860526 & -10.5971489481 & -10.2813393428 \\
UDS & 6784 & 10.0043213738 & 0.967 & 4.6199999 & 0.1 & 11.03 & 0.115 & 0.0031 & 42.1041066595 & 44.6113965617 & 1.26460907546 & 42.9022921576 & 44.377865197 & -1.42109562682 & -8.73971229834 & -10.3859326411 & -10.0701230359 \\
UDS & 2952 & 10.7427251313 & 0.971 & 5.2800002 & 0.2 & 10.76 & 0.176 & 0.0194 & 42.6305466956 & 44.3342368546 & 0.987449368377 & 43.0807553298 & 44.6009441623 & -1.19801666152 & -9.75527576292 & -11.4014961057 & -11.0856865005 \\
UDS & 1400 & 10.2174839442 & 0.972 & 4.6199999 & 0.2 & 10.97 & 0.102 & 0.0194 & 42.8405466956 & 44.5442368546 & 1.19744936838 & 43.1519453298 & 44.6899316623 & -1.10902916152 & -9.02003457582 & -10.6662549186 & -10.3504453134 \\
