field	ID	fagn_mir  lir	s24(mJy)
COS  10774   0.00  10.50  0.137
COS  10776   0.30   9.43  0.023
COS   1078   0.60  10.01  0.023
COS  10783   0.20  10.37  0.023
COS  10787   0.10  10.13  0.023
COS  10798   0.00  10.36  0.081
COS  10801   0.40  11.23  0.085
COS  10810   0.80   9.69  0.023
COS  10815   0.70   9.88  0.023
COS  10819   0.20  10.63  0.023
COS  10821   0.30   9.83  0.023
COS  10832   0.90  10.56  0.023
COS  10834   0.30  10.66  0.023
COS  10837   0.10  10.53  0.105
COS  10840   0.10  10.27  0.023
COS  10845   0.20   9.91  0.023
COS  10849   0.20  10.89  0.023
COS  10853   0.20  10.33  0.023
COS  10862   0.30  10.64  0.023
COS  10868   0.90  11.10  0.101
COS  10869   0.10   9.99  0.023
COS  10870   0.60  10.25  0.023
COS  10872   0.30   9.83  0.023
COS  10876   0.20   9.66  0.023
COS  10879   0.20  10.80  0.023
COS  10888   0.22  10.51  0.023
COS  10889   0.20  11.25  0.109
COS   1089   0.30   9.99  0.023
COS  10893   0.70   9.40  0.023
COS  10894   0.90  10.42  0.023
COS  10900   0.40  10.49  0.023
COS  10901   0.90  10.32  0.023
COS  10902   0.90  10.38  0.023
COS  10904   0.90  10.12  0.023
COS  10916   0.50   9.76  0.023
COS  10927   0.00  11.26  0.488
COS  10928   0.20  10.81  0.023
COS  10929   0.20   9.84  0.062
COS  10932   0.20  10.86  0.023
COS  10936   0.00  10.33  0.115
COS  10938   0.20  10.63  0.023
COS  10939   0.50   9.45  0.023
COS  10947   0.80   9.69  0.023
COS  10955   0.30   9.80  0.023
COS  10962   0.20  10.68  0.023
COS  10965   0.50  11.36  0.185
COS  10971   0.40   8.57  0.023
COS  10974   0.20  10.67  0.023
COS  10976   0.30   9.82  0.023
COS  10982   0.90  10.59  0.023
COS  10985   0.30  10.63  0.023
COS  10986   0.20  10.86  0.105
COS  10994   0.90  10.59  0.023
COS  10999   0.10  10.86  0.168
COS    110   0.20  10.72  0.023
COS  11006   0.70   9.95  0.023
COS   1101   0.50   9.90  0.023
COS  11010   0.20  10.65  0.023
COS  11012   0.20  10.58  0.023
COS  11018   0.40  11.34  0.023
COS  11019   0.20  10.84  0.023
COS  11026   0.70   9.64  0.023
COS  11035   0.30   9.75  0.023
COS  11041   0.10  10.10  0.023
COS  11045   0.30  10.14  0.023
COS  11054   0.40  10.60  0.023
COS  11058   0.40  10.68  0.023
COS  11063   0.00  11.71  0.177
COS  11068   0.20  10.12  0.023
COS  11079   0.60  10.56  0.023
COS  11083   0.30  10.84  0.071
COS  11087   0.20   9.73  0.023
COS   1110   0.10  10.12  0.024
COS  11108   0.50  10.65  0.023
COS  11118   0.90  10.41  0.023
COS  11119   0.20   9.96  0.023
COS   1112   0.20  10.69  0.023
COS  11132   0.10  10.77  0.082
COS  11133   0.20  10.64  0.023
COS  11154   0.30  11.51  0.296
COS  11166   0.90  10.35  0.023
COS  11167   0.20  10.93  0.023
COS  11168   0.90  10.37  0.023
COS  11171   0.50  10.00  0.023
COS  11175   0.00  10.40  0.044
COS  11182   0.20  10.86  0.023
COS  11188   1.00   9.61  0.023
COS  11197   0.10  10.41  0.023
COS  11199   0.40   9.99  0.023
COS  11203   0.10  10.51  0.023
COS  11204   0.20  10.12  0.023
COS  11205   1.00   9.64  0.023
COS  11210   0.30   9.38  0.206
COS  11214   0.30  12.04  0.239
COS  11222   0.20  10.58  0.023
COS  11223   0.00  11.02  0.179
COS   1123   0.40  10.66  0.023
COS  11231   0.20  10.40  0.023
COS  11235   0.90  10.50  0.023
COS  11247   0.20  12.15  0.096
COS  11252   0.20  10.52  0.023
COS  11253   0.10  11.09  0.023
COS  11258   0.20  10.78  0.023
COS  11270   0.00  11.31  0.483
COS  11274   0.90  10.33  0.023
COS  11277   0.50  10.24  0.023
COS  11284   0.40  10.19  0.023
COS  11290   1.00   9.69  0.023
COS  11296   0.68   8.69  0.023
COS  11298   1.00  10.27  0.023
COS  11299   0.30  11.94  0.202
COS   1130   0.02   9.91  0.023
COS  11304   0.10  11.63  0.258
COS  11305   0.40  10.31  0.023
COS  11307   0.70  10.51  0.023
COS   1131   0.10  10.44  0.023
COS  11310   0.40  10.30  0.023
COS  11316   0.90  10.30  0.023
COS  11317   0.39  10.75  0.023
COS  11318   0.90  10.52  0.023
COS  11321   0.20  10.28  0.023
COS  11332   0.50  10.10  0.232
COS  11333   0.10   9.94  0.023
COS  11336   0.20  10.75  0.023
COS  11338   0.20  10.62  0.023
COS  11339   0.20  10.72  0.023
COS  11345   0.00   8.79  0.023
COS  11356   1.00  10.33  0.023
COS   1136   0.60   9.96  0.023
COS  11361   0.20  10.80  0.023
COS  11363   0.40  10.81  0.023
COS  11368   0.00   9.86  0.120
COS  11369   0.50  10.02  0.023
COS  11378   0.20  10.67  0.023
COS  11386   0.70   8.87  0.023
COS  11388   1.00   9.65  0.023
COS  11394   0.30  10.32  0.023
COS  11398   0.70   9.60  0.023
COS  11403   0.00  10.64  0.115
COS   1141   0.30  10.11  0.023
COS  11413   0.50  10.19  0.023
COS  11428   0.60   9.25  0.023
COS   1143   0.30   9.73  0.023
COS  11431   0.20  10.42  0.023
COS  11433   0.70   9.92  0.023
COS   1144   0.70   9.98  0.023
COS  11446   0.22  10.50  0.023
COS  11452   0.90   9.66  0.023
COS  11454   0.70   9.96  0.023
COS  11458   0.60  10.65  0.023
COS  11459   0.40   8.57  0.023
COS  11464   0.22  10.25  1.038
COS  11468   0.10  10.77  0.051
COS  11469   0.20  10.12  0.023
COS  11470   0.20  10.06  0.023
COS  11471   0.30  10.56  0.023
COS  11477   0.50  10.17  0.023
COS  11479   0.90  10.39  0.023
COS  11484   0.10  10.56  0.023
COS  11487   0.10  10.72  0.073
COS  11488   0.20  10.35  0.023
COS  11495   0.20  10.64  0.023
COS  11502   0.50   8.67  0.023
COS  11504   0.20  10.87  0.023
COS  11508   0.30   9.02  0.023
COS  11510   0.00  10.66  0.108
COS  11513   0.30   9.46  0.059
COS  11516   0.40   9.80  0.023
COS  11520   0.90  10.53  0.023
COS  11527   0.70   9.66  0.023
COS   1153   0.70   9.44  0.023
COS  11537   0.50   9.49  0.023
COS  11538   1.00   9.70  0.023
COS  11544   0.30  10.52  0.023
COS  11551   0.20  11.68  0.072
COS  11553   0.40  10.12  0.023
COS  11557   0.00  10.74  0.118
COS  11559   0.10  10.10  0.023
COS   1156   0.10  10.13  0.023
COS  11563   0.20  10.84  0.023
COS  11566   0.20  10.81  0.023
COS  11567   0.20  10.07  0.023
