\begin{table}
\begin{tabular}{cccccccc}
field & ID & HLx & lbol & BHAR_xray & M_med & zbest & BHAR \\
UDS & 19748 & 42.88355 & 44.3544375 & -1.44452332379 & 10.2552725051 & 1.228 & -0.790578015524 \\
COS & 16263 & 43.47793 & 45.0974125 & -0.701548323789 & 10.6559 & 1.255 & -0.649644437611 \\
UDS & 15386 & 43.11174 & 44.639675 & -1.15928582379 & 10.9100905456 & 1.258 & -0.765153015524 \\
EGS & 11648 & 43.5843 & 45.230375 & -0.568585823789 & 10.7934 & 1.2637 & -1.33210812682 \\
GDS & 13133 & 42.37126 & 43.714075 & -2.08488582379 & 9.88 & 1.285 & -1.09207916152 \\
UDS & 6830 & 43.44391 & 45.0548875 & -0.744073323789 & 10.3443922737 & 1.289 & -0.582940515524 \\
UDS & 16259 & 43.69466 & 45.368325 & -0.430635823789 & 11.0170333393 & 1.307 & -0.497094437611 \\
UDS & 13528 & 43.71607 & 45.3950875 & -0.403873323789 & 9.48713837548 & 1.314 & -0.532090515524 \\
COS & 27448 & 44.58487 & 46.4810875 & 0.682126676211 & 10.3341 & 1.319 & -0.111584127611 \\
EGS & 12512 & 42.72112 & 44.1514 & -1.64756082379 & 10.3687 & 1.323 & -1.41685812682 \\
EGS & 5375 & 43.59564 & 45.24455 & -0.554410823789 & 10.155 & 1.325 & -1.01092801552 \\
GDS & 18321 & 43.0473 & 44.559125 & -1.23983582379 & 11.04 & 1.327 & -1.36600812682 \\
GDS & 17259 & 42.50933 & 43.8866625 & -1.91229832379 & 10.88 & 1.329 & -1.16260812682 \\
UDS & 26022 & 43.14549 & 44.6818625 & -1.11709832379 & 10.3138672204 & 1.369 & -0.389444380546 \\
GDS & 1701 & 42.79327 & 44.2415875 & -1.55737332379 & 10.35 & 1.378 & -1.31939562682 \\
EGS & 6965 & 43.3221 & 44.902625 & -0.896335823789 & 10.4916 & 1.386 & -0.994616661519 \\
EGS & 27509 & 44.38163 & 46.2270375 & 0.428076676211 & 10.3363 & 1.386 & -0.264134127611 \\
UDS & 7810 & 43.79556 & 45.49445 & -0.304510823789 & 10.895422546 & 1.396 & -0.539469437611 \\
UDS & 16261 & 43.67021 & 45.3377625 & -0.461198323789 & 10.2878017299 & 1.405 & -0.275031880546 \\
UDS & 17190 & 43.45159 & 45.0644875 & -0.734473323789 & 10.7387805585 & 1.421 & -1.28125812682 \\
UDS & 1064 & 43.71539 & 45.3942375 & -0.404723323789 & 11.45484486 & 1.437 & -1.06665416152 \\
UDS & 3325 & 44.19974 & 45.999675 & 0.200714176211 & 10.7664128471 & 1.461 & -0.147930987228 \\
UDS & 23999 & 43.7304 & 45.413 & -0.385960823789 & 10.665580991 & 1.47 & -1.14565812682 \\
UDS & 10941 & 44.28048 & 46.1006 & 0.301639176211 & 10.3138672204 & 1.471 & -0.62686237542 \\
EGS & 30572 & 44.12903 & 45.9112875 & 0.112326676211 & 10.4048 & 1.4856 & -0.547944437611 \\
GDS & 18638 & 42.38095 & 43.7261875 & -2.07277332379 & 10.25 & 1.514 & -0.905629161519 \\
EGS & 19611 & 42.89917 & 44.3739625 & -1.42499832379 & 10.3522 & 1.522 & -0.604128015524 \\
UDS & 2304 & 43.4334 & 45.04175 & -0.757210823789 & 10.2810333672 & 1.527 & -0.730156937611 \\
EGS & 15327 & 44.64522 & 46.556525 & 0.757564176211 & 11.3843 & 1.543 & -0.812404161519 \\
EGS & 14511 & 44.40024 & 46.2503 & 0.451339176211 & 10.6215 & 1.575 & -0.598794437611 \\
COS & 23395 & 43.5104 & 45.138 & -0.660960823789 & 10.3808 & 1.59 & -1.15413312682 \\
UDS & 22628 & 43.27797 & 44.8474625 & -0.951498323789 & 10.525044807 & 1.591 & -1.42109562682 \\
COS & 10624 & 45.04478 & 47.055975 & 1.25701417621 & 11.4376 & 1.598 & -0.666594437611 \\
UDS & 5779 & 43.38903 & 44.9862875 & -0.812673323789 & 10.69019608 & 1.603 & -0.641169437611 \\
UDS & 26373 & 43.69954 & 45.374425 & -0.424535823789 & 11.0718820073 & 1.606 & -0.794815515524 \\
UDS & 21991 & 43.46808 & 45.0851 & -0.713860823789 & 10.123851641 & 1.607 & -0.837829161519 \\
GDS & 22123 & 42.95237 & 44.4404625 & -1.35849832379 & 10.73 & 1.6094 & -1.39567062682 \\
UDS & 5294 & 43.46945 & 45.0868125 & -0.712148323789 & 9.99033885479 & 1.611 & -0.922579161519 \\
GDS & 26637 & 43.66047 & 45.3255875 & -0.473373323789 & 10.73 & 1.617 & -0.43193737542 \\
UDS & 25488 & 43.90819 & 45.6352375 & -0.163723323789 & 11.0086001718 & 1.618 & -0.47854987542 \\
GDS & 15955 & 43.56498 & 45.206225 & -0.592735823789 & 10.17 & 1.621 & -0.431993538079 \\
GDS & 12466 & 43.23924 & 44.79905 & -0.999910823789 & 10.29 & 1.625 & -1.07936666152 \\
UDS & 21629 & 43.7372 & 45.4215 & -0.377460823789 & 10.7715874809 & 1.639 & -0.595653015524 \\
EGS & 16266 & 43.21964 & 44.77455 & -1.02441082379 & 10.2334 & 1.6414 & -0.816641661519 \\
UDS & 11165 & 43.93854 & 45.673175 & -0.125785823789 & 10.260071388 & 1.642 & -0.33447487542 \\
UDS & 11775 & 43.48329 & 45.1041125 & -0.694848323789 & 11.0 & 1.642 & -0.756678015524 \\
EGS & 22576 & 43.18667 & 44.7333375 & -1.06562332379 & 11.0373 & 1.643 & -0.383778015524 \\
UDS & 17697 & 43.32845 & 44.9105625 & -0.888398323789 & 10.9169800473 & 1.646 & -0.655616661519 \\
UDS & 16596 & 43.84228 & 45.55285 & -0.246110823789 & 10.7218106152 & 1.648 & -0.841428015524 \\
UDS & 25916 & 43.80603 & 45.5075375 & -0.291423323789 & 10.1072099696 & 1.653 & -0.666594437611 \\
EGS & 19932 & 43.45953 & 45.0744125 & -0.724548323789 & 10.5709 & 1.685 & -0.892278015524 \\
EGS & 17933 & 43.2101 & 44.762625 & -1.03633582379 & 11.13 & 1.701 & -0.447340515524 \\
EGS & 27019 & 43.31002 & 44.887525 & -0.911435823789 & 11.0395 & 1.716 & -1.32787062682 \\
