\begin{table}
\begin{tabular}{ccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & distance & unitless_dist \\
GDS & 16616 & 10.82 & 1.221 & 4.62 & 0.1 & 11.08 & 0.163 & 0.0031 & 42.1541066595 & 44.6613965617 & 1.31460907546 & 42.9192421576 & 44.399052697 & -1.39990812682 & 1741.07740246 & 3.24081807882 \\
GDS & 17386 & 10.49 & 1.223 & 4.62 & 0.1 & 11.54 & 0.097 & 0.0031 & 42.6141066595 & 45.1213965617 & 1.77460907546 & 43.0751821576 & 44.593977697 & -1.20498312682 & 1741.48507388 & 3.24091975651 \\
UDS & 8588 & 10.2695129442 & 1.224 & 5.9400001 & 0.1 & 11.2 & 0.1 & 0.0031 & 42.2741066595 & 44.7813965617 & 1.43460907546 & 42.9599221576 & 44.449902697 & -1.34905812682 & 1741.6878209 & 3.24097031496 \\
GDS & 17213 & 9.17 & 1.224 & 4.62 & 0.1 & 10.4 & 0.019 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 & 1741.6878209 & 3.24097031496 \\
COS & 25844 & 10.7563 & 1.224 & 5.94 & 0.8 & 11.9 & 1.195 & 0.3944 & 45.078681872 & 45.2649308322 & 1.91814334596 & 43.9106731546 & 45.6383414432 & -0.160619380546 & 1741.6878209 & 3.24097031496 \\
COS & 2103 & 10.8306 & 1.225 & 5.28 & 0.3 & 11.87 & 0.236 & 0.0489 & 44.1420538248 & 45.4309711474 & 2.08418366114 & 43.5931562466 & 45.2414453083 & -0.557515515524 & 1741.88984397 & 3.24102068703 \\
UDS & 26467 & 10.0681858617 & 1.225 & 5.2800002 & 0.5 & 12.18 & 0.148 & 0.1475 & 44.931536986 & 45.6934393534 & 2.34665186713 & 43.8607910383 & 45.5759887978 & -0.222972025969 & 1741.88984397 & 3.24102068703 \\
UDS & 13413 & 10.7160033436 & 1.225 & 4.6199999 & 0.1 & 11.34 & 0.155 & 0.0031 & 42.4141066595 & 44.9213965617 & 1.57460907546 & 43.0073821576 & 44.509227697 & -1.28973312682 & 1741.88984397 & 3.24102068703 \\
UDS & 25430 & 10.8135809886 & 1.225 & 5.2800002 & 0.1 & 12.09 & 0.166 & 0.0031 & 43.1641066595 & 45.6713965617 & 2.32460907546 & 43.2616321576 & 44.827040197 & -0.971920626815 & 1741.88984397 & 3.24102068703 \\
UDS & 5278 & 9.90579588037 & 1.225 & 5.9400001 & 0.1 & 10.96 & 0.07 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 & 1741.88984397 & 3.24102068703 \\
COS & 15548 & 10.8017 & 1.225 & 4.62 & 0.1 & 11.47 & 0.187 & 0.0031 & 42.5441066595 & 45.0513965617 & 1.70460907546 & 43.0514521576 & 44.564315197 & -1.23464562682 & 1741.88984397 & 3.24102068703 \\
GDS & 19905 & 9.53 & 1.227 & 5.28 & 0.2 & 11.61 & 0.133 & 0.0194 & 43.4805466956 & 45.1842368546 & 1.83744936838 & 43.3689053298 & 44.9611316623 & -0.837829161519 & 1742.29172381 & 3.24112087365 \\
UDS & 19748 & 10.2552725051 & 1.228 & 4.6199999 & 0.3 & 11.32 & 0.116 & 0.0489 & 43.5920538248 & 44.8809711474 & 1.53418366114 & 43.4067062466 & 45.0083828083 & -0.790578015524 & 1742.49158332 & 3.24117068902 \\
EGS & 30790 & 10.6559 & 1.2288 & 5.28 & 0.3 & 11.22 & 0.156 & 0.0489 & 43.4920538248 & 44.7809711474 & 1.43418366114 & 43.3728062466 & 44.9660078083 & -0.832953015524 & 1742.65095359 & 3.24121040828 \\
COS & 9166 & 8.63458 & 1.23 & 10.56 & 0.5 & 11.35 & 0.276 & 0.1475 & 44.101536986 & 44.8634393534 & 1.51665186713 & 43.5794210383 & 45.2242762978 & -0.574684525969 & 1742.88914842 & 3.2412697659 \\
GDS & 19991 & 9.95 & 1.23 & 4.62 & 0.1 & 10.47 & 0.026 & 0.0031 & 41.5441066595 & 44.0513965617 & 0.704609075465 & 42.7124521576 & 44.140565197 & -1.65839562682 & 1742.88914842 & 3.2412697659 \\
EGS & 4879 & 10.0459 & 1.23 & 5.28 & 0.1 & 10.55 & 0.031 & 0.0031 & 41.6241066595 & 44.1313965617 & 0.784609075465 & 42.7395721576 & 44.174465197 & -1.62449562682 & 1742.88914842 & 3.2412697659 \\
EGS & 3042 & 9.84418 & 1.232 & 4.62 & 0.1 & 11.12 & 0.036 & 0.0031 & 42.1941066595 & 44.7013965617 & 1.35460907546 & 42.9328021576 & 44.416002697 & -1.38295812682 & 1743.28385072 & 3.241368107 \\
UDS & 12907 & 11.0413926852 & 1.234 & 3.96 & 0.1 & 11.51 & 0.26 & 0.0031 & 42.5841066595 & 45.0913965617 & 1.74460907546 & 43.0650121576 & 44.581265197 & -1.21769562682 & 1743.67570115 & 3.24146571552 \\
UDS & 18547 & 10.6354837468 & 1.234 & 3.96 & 0.1 & 11.59 & 0.225 & 0.0031 & 42.6641066595 & 45.1713965617 & 1.82460907546 & 43.0921321576 & 44.615165197 & -1.18379562682 & 1743.67570115 & 3.24146571552 \\
EGS & 16665 & 9.19866 & 1.234 & 4.62 & 0.1 & 10.67 & 0.029 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & 1743.67570115 & 3.24146571552 \\
EGS & 26337 & 10.0564 & 1.235 & 4.62 & 0.1 & 11.15 & 0.075 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 & 1743.8705603 & 3.24151424606 \\
EGS & 10961 & 10.9361 & 1.235 & 4.62 & 0.1 & 11.62 & 0.233 & 0.0031 & 42.6941066595 & 45.2013965617 & 1.85460907546 & 43.1023021576 & 44.627877697 & -1.17108312682 & 1743.8705603 & 3.24151424606 \\
EGS & 31791 & 10.3162 & 1.236 & 5.28 & 0.1 & 11.45 & 0.084 & 0.0031 & 42.5241066595 & 45.0313965617 & 1.68460907546 & 43.0446721576 & 44.555840197 & -1.24312062682 & 1744.06471056 & 3.24156259466 \\
UDS & 999 & 10.5622928645 & 1.237 & 5.2800002 & 0.1 & 11.14 & 0.062 & 0.0031 & 42.2141066595 & 44.7213965617 & 1.37460907546 & 42.9395821576 & 44.424477697 & -1.37448312682 & 1744.25815327 & 3.2416107617 \\
UDS & 26295 & 10.3010299957 & 1.239 & 5.2800002 & 0.1 & 10.91 & 0.061 & 0.0031 & 41.9841066595 & 44.4913965617 & 1.14460907546 & 42.8616121576 & 44.327015197 & -1.47194562682 & 1744.64292146 & 3.24170655272 \\
COS & 27990 & 10.1076 & 1.239 & 5.28 & 0.1 & 10.84 & 0.04 & 0.0031 & 41.9141066595 & 44.4213965617 & 1.07460907546 & 42.8378821576 & 44.297352697 & -1.50160812682 & 1744.64292146 & 3.24170655272 \\
UDS & 26801 & 10.4487063199 & 1.24 & 5.2800002 & 0.1 & 11.59 & 0.111 & 0.0031 & 42.6641066595 & 45.1713965617 & 1.82460907546 & 43.0921321576 & 44.615165197 & -1.18379562682 & 1744.83424961 & 3.24175417749 \\
EGS & 30276 & 10.0146 & 1.24 & 5.28 & 0.1 & 10.5 & 0.027 & 0.0031 & 41.5741066595 & 44.0813965617 & 0.734609075465 & 42.7226221576 & 44.153277697 & -1.64568312682 & 1744.83424961 & 3.24175417749 \\
COS & 20 & 9.69289 & 1.24 & 10.56 & 0.2 & 10.92 & 0.082 & 0.0194 & 42.7905466956 & 44.4942368546 & 1.14744936838 & 43.1349953298 & 44.6687441623 & -1.13021666152 & 1744.83424961 & 3.24175417749 \\
COS & 16196 & 10.1237 & 1.241 & 3.96 & 0.1 & 10.83 & 0.059 & 0.0031 & 41.9041066595 & 44.4113965617 & 1.06460907546 & 42.8344921576 & 44.293115197 & -1.50584562682 & 1745.02487561 & 3.24180162228 \\
COS & 28484 & 9.81181 & 1.241 & 7.92 & 0.3 & 11.15 & 0.131 & 0.0489 & 43.4220538248 & 44.7109711474 & 1.36418366114 & 43.3490762466 & 44.9363453083 & -0.862615515524 & 1745.02487561 & 3.24180162228 \\
UDS & 13079 & 10.8082109729 & 1.241 & 4.6199999 & 0.1 & 11.33 & 0.18 & 0.0031 & 42.4041066595 & 44.9113965617 & 1.56460907546 & 43.0039921576 & 44.504990197 & -1.29397062682 & 1745.02487561 & 3.24180162228 \\
EGS & 20322 & 10.2655 & 1.241 & 4.62 & 0.1 & 11.54 & 0.071 & 0.0031 & 42.6141066595 & 45.1213965617 & 1.77460907546 & 43.0751821576 & 44.593977697 & -1.20498312682 & 1745.02487561 & 3.24180162228 \\
EGS & 29284 & 9.96558 & 1.242 & 4.62 & 0.1 & 11.42 & 0.072 & 0.0031 & 42.4941066595 & 45.0013965617 & 1.65460907546 & 43.0345021576 & 44.543127697 & -1.25583312682 & 1745.21480077 & 3.24184888748 \\
COS & 12436 & 9.04998 & 1.2428 & 5.28 & 0.2 & 10.86 & 0.041 & 0.0194 & 42.7305466956 & 44.4342368546 & 1.08744936838 & 43.1146553298 & 44.6433191623 & -1.15564166152 & 1745.36623721 & 3.24188657061 \\
GDS & 14638 & 10.8 & 1.244 & 4.62 & 0.2 & 11.13 & 0.063 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 & 1745.59255397 & 3.24194288071 \\
GDS & 11032 & 10.0 & 1.245 & 4.62 & 0.1 & 10.81 & 0.057 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & 1745.78038466 & 3.24198960951 \\
GDS & 23246 & 9.92 & 1.2458 & 4.62 & 0.1 & 11.09 & 0.041 & 0.0031 & 42.1641066595 & 44.6713965617 & 1.32460907546 & 42.9226321576 & 44.403290197 & -1.39567062682 & 1745.93014838 & 3.24202686435 \\
UDS & 23274 & 10.2741578493 & 1.246 & 5.2800002 & 0.2 & 11.11 & 0.105 & 0.0194 & 42.9805466956 & 44.6842368546 & 1.33744936838 & 43.1994053298 & 44.7492566623 & -1.04970416152 & 1745.96751984 & 3.24203616028 \\
COS & 10265 & 11.0992 & 1.25 & 5.28 & 0.5 & 11.17 & 0.109 & 0.1475 & 43.921536986 & 44.6834393534 & 1.33665186713 & 43.5184010383 & 45.1480012978 & -0.650959525969 & 1746.70913207 & 3.24222059081 \\
COS & 13435 & 10.7857 & 1.25 & 4.62 & 0.5 & 11.2 & 0.105 & 0.1475 & 43.951536986 & 44.7134393534 & 1.36665186713 & 43.5285710383 & 45.1607137978 & -0.638247025969 & 1746.70913207 & 3.24222059081 \\
COS & 12189 & 9.86079 & 1.25 & 4.62 & 0.2 & 10.84 & 0.052 & 0.0194 & 42.7105466956 & 44.4142368546 & 1.06744936838 & 43.1078753298 & 44.6348441623 & -1.16411666152 & 1746.70913207 & 3.24222059081 \\
COS & 29005 & 10.8456 & 1.25 & 3.5 & 0.2 & 10.77 & 0.076 & 0.0194 & 42.6405466956 & 44.3442368546 & 0.997449368377 & 43.0841453298 & 44.6051816623 & -1.19377916152 & 1746.70913207 & 3.24222059081 \\
COS & 4093 & 11.0997 & 1.2509 & 4.62 & 0.1 & 11.56 & 0.202 & 0.0031 & 42.6341066595 & 45.1413965617 & 1.79460907546 & 43.0819621576 & 44.602452697 & -1.19650812682 & 1746.87447279 & 3.2422616985 \\
UDS & 16714 & 10.7535830589 & 1.252 & 4.6199999 & 0.2 & 11.38 & 0.177 & 0.0194 & 43.2505466956 & 44.9542368546 & 1.60744936838 & 43.2909353298 & 44.8636691623 & -0.935291661519 & 1747.07579951 & 3.24231174791 \\
EGS & 21979 & 9.69965 & 1.252 & 4.62 & 0.1 & 10.69 & 0.038 & 0.0031 & 41.7641066595 & 44.2713965617 & 0.924609075465 & 42.7870321576 & 44.233790197 & -1.56517062682 & 1747.07579951 & 3.24231174791 \\
EGS & 26483 & 9.90281 & 1.254 & 5.28 & 0.1 & 11.17 & 0.049 & 0.0031 & 42.2441066595 & 44.7513965617 & 1.40460907546 & 42.9497521576 & 44.437190197 & -1.36177062682 & 1747.43972184 & 3.24240220363 \\
GDS & 14919 & 9.39 & 1.254 & 5.28 & 0.2 & 10.3 & 0.015 & 0.0194 & 42.1705466956 & 43.8742368546 & 0.527449368377 & 42.9248153298 & 44.4060191623 & -1.39294166152 & 1747.43972184 & 3.24240220363 \\
EGS & 4078 & 10.2049 & 1.255 & 5.28 & 0.2 & 10.93 & 0.064 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 & 1747.62065685 & 3.24244716942 \\
COS & 16263 & 10.6559 & 1.255 & 4.62 & 0.4 & 11.38 & 0.226 & 0.0916 & 43.9246404394 & 44.9210220912 & 1.57423460501 & 43.5194531089 & 45.1493163862 & -0.649644437611 & 1747.62065685 & 3.24244716942 \\
COS & 23656 & 9.39901 & 1.2559 & 5.28 & 0.2 & 11.38 & 0.132 & 0.0194 & 43.2505466956 & 44.9542368546 & 1.60744936838 & 43.2909353298 & 44.8636691623 & -0.935291661519 & 1747.7829149 & 3.24248748967 \\
EGS & 22300 & 9.6281 & 1.256 & 5.28 & 0.3 & 10.61 & 0.028 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & 1747.8009095 & 3.242491961 \\
EGS & 10269 & 10.2953 & 1.256 & 4.62 & 0.2 & 10.98 & 0.098 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 & 1747.8009095 & 3.242491961 \\
COS & 16701 & 10.7669 & 1.2579 & 4.62 & 0.3 & 11.34 & 0.081 & 0.0489 & 43.6120538248 & 44.9009711474 & 1.55418366114 & 43.4134862466 & 45.0168578083 & -0.782103015524 & 1748.14151426 & 3.24257658641 \\
UDS & 15386 & 10.9100905456 & 1.258 & 3.96 & 0.3 & 11.38 & 0.214 & 0.0489 & 43.6520538248 & 44.9409711474 & 1.59418366114 & 43.4270462466 & 45.0338078083 & -0.765153015524 & 1748.15937289 & 3.24258102304 \\
UDS & 14075 & 10.6138418219 & 1.258 & 4.6199999 & 0.06 & 11.0 & 0.08 & 0.000276 & 41.0236540478 & 44.5826250839 & 1.23583759765 & 42.5360187222 & 43.9200234027 & -1.87893742105 & 1748.15937289 & 3.24258102304 \\
EGS & 21346 & 10.1576 & 1.2593 & 5.28 & 0.3 & 11.31 & 0.068 & 0.0489 & 43.5820538248 & 44.8709711474 & 1.52418366114 & 43.4033162466 & 45.0041453083 & -0.794815515524 & 1748.39091812 & 3.24263854191 \\
UDS & 13540 & 9.95085145889 & 1.26 & 5.2800002 & 0.2 & 10.95 & 0.065 & 0.0194 & 42.8205466956 & 44.5242368546 & 1.17744936838 & 43.1451653298 & 44.6814566623 & -1.11750416152 & 1748.51512238 & 3.24266939274 \\
COS & 27297 & 9.79394 & 1.26 & 5.28 & 0.3 & 10.62 & 0.036 & 0.0489 & 42.8920538248 & 44.1809711474 & 0.834183661141 & 43.1694062466 & 44.7117578083 & -1.08720301552 & 1748.51512238 & 3.24266939274 \\
EGS & 31387 & 9.92543 & 1.26 & 5.28 & 0.1 & 10.51 & 0.026 & 0.0031 & 41.5841066595 & 44.0913965617 & 0.744609075465 & 42.7260121576 & 44.157515197 & -1.64144562682 & 1748.51512238 & 3.24266939274 \\
EGS & 24163 & 9.3055 & 1.26 & 5.28 & 0.8 & 10.55 & 0.037 & 0.3944 & 43.728681872 & 43.9149308322 & 0.568143345959 & 43.4530231546 & 45.0662789432 & -0.732681880546 & 1748.51512238 & 3.24266939274 \\
COS & 22046 & 8.98578 & 1.26 & 10.56 & 0.2 & 11.0 & 0.055 & 0.0194 & 42.8705466956 & 44.5742368546 & 1.22744936838 & 43.1621153298 & 44.7026441623 & -1.09631666152 & 1748.51512238 & 3.24266939274 \\
COS & 13551 & 10.4076 & 1.26 & 4.62 & 0.1 & 10.84 & 0.07 & 0.0031 & 41.9141066595 & 44.4213965617 & 1.07460907546 & 42.8378821576 & 44.297352697 & -1.50160812682 & 1748.51512238 & 3.24266939274 \\
COS & 9043 & 10.4287 & 1.26 & 5.28 & 0.2 & 11.31 & 0.078 & 0.0194 & 43.1805466956 & 44.8842368546 & 1.53744936838 & 43.2672053298 & 44.8340066623 & -0.964954161519 & 1748.51512238 & 3.24266939274 \\
EGS & 16179 & 10.5732 & 1.26 & 5.28 & 0.2 & 11.56 & 0.113 & 0.0194 & 43.4305466956 & 45.1342368546 & 1.78744936838 & 43.3519553298 & 44.9399441623 & -0.859016661519 & 1748.51512238 & 3.24266939274 \\
COS & 4015 & 10.2973 & 1.26 & 4.62 & 0.2 & 10.93 & 0.071 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 & 1748.51512238 & 3.24266939274 \\
COS & 383 & 10.4819 & 1.26 & 5.94 & 0.3 & 11.07 & 0.261 & 0.0489 & 43.3420538248 & 44.6309711474 & 1.28418366114 & 43.3219562466 & 44.9024453083 & -0.896515515524 & 1748.51512238 & 3.24266939274 \\
COS & 25877 & 10.8658 & 1.26 & 5.28 & 0.4 & 11.89 & 0.202 & 0.0916 & 44.4346404394 & 45.4310220912 & 2.08423460501 & 43.6923431089 & 45.3654288862 & -0.433531937611 & 1748.51512238 & 3.24266939274 \\
EGS & 21904 & 10.0274 & 1.26 & 6.6 & 0.06 & 10.57 & 0.029 & 0.000276 & 40.5936540478 & 44.1526250839 & 0.805837597645 & 42.3902487222 & 43.7378109027 & -2.06114992105 & 1748.51512238 & 3.24266939274 \\
COS & 8893 & 10.1101 & 1.26 & 5.94 & 0.3 & 11.07 & 0.078 & 0.0489 & 43.3420538248 & 44.6309711474 & 1.28418366114 & 43.3219562466 & 44.9024453083 & -0.896515515524 & 1748.51512238 & 3.24266939274 \\
EGS & 5445 & 9.98815 & 1.261 & 5.94 & 0.1 & 11.3 & 0.055 & 0.0031 & 42.3741066595 & 44.8813965617 & 1.53460907546 & 42.9938221576 & 44.492277697 & -1.30668312682 & 1748.69198264 & 3.2427133189 \\
EGS & 11876 & 10.2421 & 1.261 & 3.96 & 0.1 & 10.66 & 0.039 & 0.0031 & 41.7341066595 & 44.2413965617 & 0.894609075465 & 42.7768621576 & 44.221077697 & -1.57788312682 & 1748.69198264 & 3.2427133189 \\
EGS & 16983 & 10.3049 & 1.2615 & 4.62 & 0.1 & 11.12 & 0.079 & 0.0031 & 42.1941066595 & 44.7013965617 & 1.35460907546 & 42.9328021576 & 44.416002697 & -1.38295812682 & 1748.78015971 & 3.24273521747 \\
UDS & 9416 & 10.2741578493 & 1.262 & 4.6199999 & 0.1 & 11.08 & 0.089 & 0.0031 & 42.1541066595 & 44.6613965617 & 1.31460907546 & 42.9192421576 & 44.399052697 & -1.39990812682 & 1748.86816829 & 3.24275707309 \\
UDS & 18291 & 10.3979400087 & 1.263 & 5.2800002 & 0.1 & 10.97 & 0.073 & 0.0031 & 42.0441066595 & 44.5513965617 & 1.20460907546 & 42.8819521576 & 44.352440197 & -1.44652062682 & 1749.04368061 & 3.24280065568 \\
EGS & 11648 & 10.7934 & 1.2637 & 4.62 & 0.1 & 11.24 & 0.134 & 0.0031 & 42.3141066595 & 44.8213965617 & 1.47460907546 & 42.9734821576 & 44.466852697 & -1.33210812682 & 1749.1661393 & 3.2428310616 \\
EGS & 29793 & 9.75447 & 1.264 & 4.62 & 0.2 & 10.8 & 0.044 & 0.0194 & 42.6705466956 & 44.3742368546 & 1.02744936838 & 43.0943153298 & 44.6178941623 & -1.18106666152 & 1749.2185209 & 3.24284406705 \\
EGS & 12625 & 10.8453 & 1.264 & 5.28 & 0.2 & 11.89 & 0.299 & 0.0194 & 43.7605466956 & 45.4642368546 & 2.11744936838 & 43.4638253298 & 45.0797816623 & -0.719179161519 & 1749.2185209 & 3.24284406705 \\
EGS & 9788 & 10.3614 & 1.265 & 3.96 & 0.2 & 11.15 & 0.073 & 0.0194 & 43.0205466956 & 44.7242368546 & 1.37744936838 & 43.2129653298 & 44.7662066623 & -1.03275416152 & 1749.39269042 & 3.24288730756 \\
EGS & 7599 & 10.1146 & 1.265 & 5.94 & 0.1 & 10.61 & 0.032 & 0.0031 & 41.6841066595 & 44.1913965617 & 0.844609075465 & 42.7599121576 & 44.199890197 & -1.59907062682 & 1749.39269042 & 3.24288730756 \\
GDS & 13817 & 9.95 & 1.266 & 4.62 & 0.1 & 10.56 & 0.026 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & 1749.56619045 & 3.24293037757 \\
COS & 3857 & 9.3656 & 1.266 & 5.94 & 0.2 & 10.92 & 0.044 & 0.0194 & 42.7905466956 & 44.4942368546 & 1.14744936838 & 43.1349953298 & 44.6687441623 & -1.13021666152 & 1749.56619045 & 3.24293037757 \\
GDS & 19110 & 9.55 & 1.268 & 5.28 & 0.2 & 10.4 & 0.018 & 0.0194 & 42.2705466956 & 43.9742368546 & 0.627449368377 & 42.9587153298 & 44.4483941623 & -1.35056666152 & 1749.91118715 & 3.24301600759 \\
UDS & 15470 & 10.285557309 & 1.269 & 4.6199999 & 0.1 & 11.22 & 0.093 & 0.0031 & 42.2941066595 & 44.8013965617 & 1.45460907546 & 42.9667021576 & 44.458377697 & -1.34058312682 & 1750.08268635 & 3.24305856833 \\
EGS & 532 & 9.95384 & 1.269 & 4.62 & 0.2 & 10.58 & 0.026 & 0.0194 & 42.4505466956 & 44.1542368546 & 0.807449368377 & 43.0197353298 & 44.5246691623 & -1.27429166152 & 1750.08268635 & 3.24305856833 \\
EGS & 8719 & 9.58278 & 1.269 & 6.6 & 0.2 & 11.48 & 0.19 & 0.0194 & 43.3505466956 & 45.0542368546 & 1.70744936838 & 43.3248353298 & 44.9060441623 & -0.892916661519 & 1750.08268635 & 3.24305856833 \\
UDS & 20266 & 10.6009728957 & 1.27 & 5.2800002 & 0.06 & 10.93 & 0.068 & 0.000276 & 40.9536540478 & 44.5126250839 & 1.16583759765 & 42.5122887222 & 43.8903609027 & -1.90859992105 & 1750.25352114 & 3.24310096003 \\
COS & 27385 & 10.3006 & 1.27 & 5.28 & 0.2 & 11.38 & 0.089 & 0.0194 & 43.2505466956 & 44.9542368546 & 1.60744936838 & 43.2909353298 & 44.8636691623 & -0.935291661519 & 1750.25352114 & 3.24310096003 \\
UDS & 19724 & 10.1398790864 & 1.27 & 3.5 & 0.2 & 11.4 & 0.112 & 0.0194 & 43.2705466956 & 44.9742368546 & 1.62744936838 & 43.2977153298 & 44.8721441623 & -0.926816661519 & 1750.25352114 & 3.24310096003 \\
COS & 27124 & 9.79334 & 1.27 & 5.94 & 0.3 & 11.01 & 0.043 & 0.0489 & 43.2820538248 & 44.5709711474 & 1.22418366114 & 43.3016162466 & 44.8770203083 & -0.921940515524 & 1750.25352114 & 3.24310096003 \\
COS & 25028 & 10.6739 & 1.27 & 5.94 & 0.1 & 11.31 & 0.076 & 0.0031 & 42.3841066595 & 44.8913965617 & 1.54460907546 & 42.9972121576 & 44.496515197 & -1.30244562682 & 1750.25352114 & 3.24310096003 \\
UDS & 12173 & 9.81491318128 & 1.2707 & 4.6199999 & 0.1 & 11.01 & 0.064 & 0.0031 & 42.0841066595 & 44.5913965617 & 1.24460907546 & 42.8955121576 & 44.369390197 & -1.42957062682 & 1750.37271085 & 3.24313053385 \\
EGS & 20395 & 10.229 & 1.271 & 5.28 & 0.3 & 11.18 & 0.077 & 0.0489 & 43.4520538248 & 44.7409711474 & 1.39418366114 & 43.3592462466 & 44.9490578083 & -0.849903015524 & 1750.42369279 & 3.24314318307 \\
EGS & 1196 & 9.56538 & 1.271 & 10.56 & 0.2 & 10.9 & 0.055 & 0.0194 & 42.7705466956 & 44.4742368546 & 1.12744936838 & 43.1282153298 & 44.6602691623 & -1.13869166152 & 1750.42369279 & 3.24314318307 \\
EGS & 28262 & 10.2161 & 1.271 & 3.5 & 0.2 & 11.26 & 0.1 & 0.0194 & 43.1305466956 & 44.8342368546 & 1.48744936838 & 43.2502553298 & 44.8128191623 & -0.986141661519 & 1750.42369279 & 3.24314318307 \\
EGS & 19626 & 9.76477 & 1.272 & 4.62 & 0.3 & 10.98 & 0.067 & 0.0489 & 43.2520538248 & 44.5409711474 & 1.19418366114 & 43.2914462466 & 44.8643078083 & -0.934653015524 & 1750.59320256 & 3.2431852378 \\
GDS & 17071 & 10.18 & 1.272 & 5.28 & 0.1 & 10.72 & 0.048 & 0.0031 & 41.7941066595 & 44.3013965617 & 0.954609075465 & 42.7972021576 & 44.246502697 & -1.55245812682 & 1750.59320256 & 3.2431852378 \\
COS & 26507 & 9.97106 & 1.2734 & 3.96 & 0.3 & 10.71 & 0.038 & 0.0489 & 42.9820538248 & 44.2709711474 & 0.924183661141 & 43.1999162466 & 44.7498953083 & -1.04906551552 & 1750.82940668 & 3.24324383235 \\
EGS & 4745 & 9.69116 & 1.275 & 5.28 & 0.1 & 10.58 & 0.028 & 0.0031 & 41.6541066595 & 44.1613965617 & 0.814609075465 & 42.7497421576 & 44.187177697 & -1.61178312682 & 1751.09777316 & 3.24331039574 \\
EGS & 13778 & 9.53005 & 1.276 & 3.96 & 0.2 & 11.08 & 0.057 & 0.0194 & 42.9505466956 & 44.6542368546 & 1.30744936838 & 43.1892353298 & 44.7365441623 & -1.06241666152 & 1751.26464796 & 3.24335178084 \\
GDS & 24987 & 10.28 & 1.276 & 3.96 & 0.4 & 11.33 & 0.202 & 0.0916 & 43.8746404394 & 44.8710220912 & 1.52423460501 & 43.5025031089 & 45.1281288862 & -0.670831937611 & 1751.26464796 & 3.24335178084 \\
UDS & 19242 & 10.6364878964 & 1.277 & 5.2800002 & 0.1 & 10.79 & 0.05 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 & 1751.43086715 & 3.24339299943 \\
UDS & 8252 & 10.3820170426 & 1.277 & 4.6199999 & 0.3 & 11.43 & 0.146 & 0.0489 & 43.7020538248 & 44.9909711474 & 1.64418366114 & 43.4439962466 & 45.0549953083 & -0.743965515524 & 1751.43086715 & 3.24339299943 \\
COS & 27390 & 9.85441 & 1.2787 & 4.62 & 0.4 & 10.97 & 0.187 & 0.0916 & 43.5146404394 & 44.5110220912 & 1.16423460501 & 43.3804631089 & 44.9755788862 & -0.823381937611 & 1751.71193867 & 3.24346268988 \\
UDS & 15634 & 9.95472479098 & 1.28 & 4.6199999 & 0.3 & 11.16 & 0.097 & 0.0489 & 43.4320538248 & 44.7209711474 & 1.37418366114 & 43.3524662466 & 44.9405828083 & -0.858378015524 & 1751.9256035 & 3.24351565967 \\
COS & 7209 & 10.4844 & 1.28 & 4.62 & 0.2 & 11.61 & 0.158 & 0.0194 & 43.4805466956 & 45.1842368546 & 1.83744936838 & 43.3689053298 & 44.9611316623 & -0.837829161519 & 1751.9256035 & 3.24351565967 \\
COS & 26686 & 10.141 & 1.28 & 5.28 & 0.2 & 10.78 & 0.041 & 0.0194 & 42.6505466956 & 44.3542368546 & 1.00744936838 & 43.0875353298 & 44.6094191623 & -1.18954166152 & 1751.9256035 & 3.24351565967 \\
UDS & 15357 & 10.1335389084 & 1.282 & 5.9400001 & 0.1 & 10.92 & 0.06 & 0.0031 & 41.9941066595 & 44.5013965617 & 1.15460907546 & 42.8650021576 & 44.331252697 & -1.46770812682 & 1752.25217245 & 3.2435966071 \\
