\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
EGS & 17789 & 10.2528 & 0.796 & 5.28 & 0.2 & 11.41 & 0.25 & 0.0194 & 43.2805466956 & 44.9842368546 & 1.63744936838 & 43.3011053298 & 44.8763816623 & -0.922579161519 & -8.61535063162 & -10.0035193554 & -9.66554325819 \\
EGS & 29833 & 9.81946 & 0.8 & 4.62 & 0.3 & 10.61 & 0.062 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & -8.99527633886 & -10.3834450626 & -10.0454689654 \\
EGS & 29068 & 9.73957 & 0.801 & 5.28 & 0.1 & 10.69 & 0.076 & 0.0031 & 41.7641066595 & 44.2713965617 & 0.924609075465 & 42.7870321576 & 44.233790197 & -1.56517062682 & -8.81496092454 & -10.2031296483 & -9.86515355111 \\
EGS & 11104 & 10.2644 & 0.805 & 4.62 & 0.3 & 11.02 & 0.152 & 0.0489 & 43.2920538248 & 44.5809711474 & 1.23418366114 & 43.3050062466 & 44.8812578083 & -0.917703015524 & -9.03021633886 & -10.4183850626 & -10.0804089654 \\
EGS & 6884 & 9.29 & 0.8054 & 3.96 & 0.2 & 10.98 & 0.115 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 & -8.08255063162 & -9.47071935537 & -9.13274325819 \\
EGS & 24344 & 9.43207 & 0.806 & 5.28 & 0.1 & 10.7 & 0.042 & 0.0031 & 41.7741066595 & 44.2813965617 & 0.934609075465 & 42.7904221576 & 44.238027697 & -1.56093312682 & -8.49746092453 & -9.88562964829 & -9.54765355111 \\
EGS & 15727 & 10.9604 & 0.806 & 3.96 & 0.2 & 11.12 & 0.133 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & -9.61295063162 & -11.0011193554 & -10.6631432582 \\
EGS & 4794 & 10.3511 & 0.807 & 5.28 & 0.2 & 10.93 & 0.191 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 & -9.19365063162 & -10.5818193554 & -10.2438432582 \\
EGS & 29569 & 8.90587 & 0.8078 & 3.96 & 0.3 & 10.0 & 0.026 & 0.0489 & 42.2720538248 & 43.5609711474 & 0.214183661141 & 42.9592262466 & 44.4490328083 & -1.34992801552 & -8.69168633886 & -10.0798550626 & -9.74187896543 \\
EGS & 20538 & 9.92564 & 0.808 & 10.56 & 0.4 & 10.95 & 0.226 & 0.0916 & 43.4946404394 & 44.4910220912 & 1.14423460501 & 43.3736831089 & 44.9671038862 & -0.831856937611 & -8.78140539499 & -10.1695741187 & -9.83159802156 \\
EGS & 2146 & 9.89026 & 0.8084 & 5.28 & 0.1 & 10.56 & 0.063 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & -9.09565092453 & -10.4838196483 & -10.1458435511 \\
EGS & 28269 & 9.47885 & 0.809 & 10.56 & 0.1 & 10.67 & 0.066 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & -8.57424092453 & -9.96240964829 & -9.62443355111 \\
EGS & 23704 & 10.0673 & 0.813 & 3.96 & 0.2 & 10.38 & 0.167 & 0.0194 & 42.2505466956 & 43.9542368546 & 0.607449368377 & 42.9519353298 & 44.4399191623 & -1.35904166152 & -9.45985063162 & -10.8480193554 & -10.5100432582 \\
EGS & 27328 & 10.1469 & 0.814 & 3.96 & 0.3 & 11.08 & 0.212 & 0.0489 & 43.3520538248 & 44.6409711474 & 1.29418366114 & 43.3253462466 & 44.9066828083 & -0.892278015524 & -8.85271633886 & -10.2408850626 & -9.90290896543 \\
EGS & 11660 & 9.39908 & 0.8166 & 4.62 & 0.1 & 10.15 & 0.024 & 0.0031 & 41.2241066595 & 43.7313965617 & 0.384609075465 & 42.6039721576 & 44.004965197 & -1.79399562682 & -9.01447092453 & -10.4026396483 & -10.0646635511 \\
EGS & 25171 & 9.95443 & 0.817 & 3.96 & 0.1 & 10.71 & 0.088 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 & -9.00982092454 & -10.3979896483 & -10.0600135511 \\
EGS & 23685 & 10.0031 & 0.8228 & 5.28 & 0.1 & 10.81 & 0.108 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & -8.95849092454 & -10.3466596483 & -10.0086835511 \\
EGS & 8581 & 9.88728 & 0.823 & 3.96 & 0.2 & 10.83 & 0.098 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & -8.82983063162 & -10.2179993554 & -9.88002325819 \\
EGS & 30802 & 10.6101 & 0.83 & 10.56 & 0.3 & 11.18 & 0.214 & 0.0489 & 43.4520538248 & 44.7409711474 & 1.39418366114 & 43.3592462466 & 44.9490578083 & -0.849903015524 & -9.21591633886 & -10.6040850626 & -10.2661089654 \\
EGS & 24456 & 10.1984 & 0.833 & 4.62 & 0.1 & 11.33 & 0.376 & 0.0031 & 42.4041066595 & 44.9113965617 & 1.56460907546 & 43.0039921576 & 44.504990197 & -1.29397062682 & -8.63379092454 & -10.0219596483 & -9.68398355111 \\
EGS & 31062 & 9.56787 & 0.834 & 5.94 & 0.2 & 10.68 & 0.078 & 0.0194 & 42.5505466956 & 44.2542368546 & 0.907449368377 & 43.0536353298 & 44.5670441623 & -1.23191666152 & -8.66042063162 & -10.0485893554 & -9.71061325819 \\
EGS & 25533 & 10.7089 & 0.835 & 5.28 & 0.1 & 11.06 & 0.22 & 0.0031 & 42.1341066595 & 44.6413965617 & 1.29460907546 & 42.9124621576 & 44.390577697 & -1.40838312682 & -9.41429092454 & -10.8024596483 & -10.4644835511 \\
EGS & 28541 & 8.4287 & 0.835 & 10.56 & 0.2 & 10.39 & 0.039 & 0.0194 & 42.2605466956 & 43.9642368546 & 0.617449368377 & 42.9553253298 & 44.4441566623 & -1.35480416152 & -7.81125063162 & -9.19941935538 & -8.86144325819 \\
EGS & 25380 & 10.6571 & 0.837 & 4.62 & 0.1 & 11.37 & 0.208 & 0.0031 & 42.4441066595 & 44.9513965617 & 1.60460907546 & 43.0175521576 & 44.521940197 & -1.27702062682 & -9.05249092454 & -10.4406596483 & -10.1026835511 \\
EGS & 9376 & 10.122 & 0.837 & 4.62 & 0.2 & 10.87 & 0.167 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 & -9.02455063162 & -10.4127193554 & -10.0747432582 \\
EGS & 24915 & 10.5761 & 0.842 & 4.62 & 0.3 & 11.17 & 0.229 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 & -9.19191633886 & -10.5800850626 & -10.2421089654 \\
EGS & 661 & 10.3198 & 0.847 & 4.62 & 0.2 & 11.48 & 0.343 & 0.0194 & 43.3505466956 & 45.0542368546 & 1.70744936838 & 43.3248353298 & 44.9060441623 & -0.892916661519 & -8.61235063162 & -10.0005193554 & -9.66254325819 \\
EGS & 29222 & 9.74662 & 0.849 & 4.62 & 0.1 & 10.45 & 0.052 & 0.0031 & 41.5241066595 & 44.0313965617 & 0.684609075465 & 42.7056721576 & 44.132090197 & -1.66687062682 & -9.06201092454 & -10.4501796483 & -10.1122035511 \\
EGS & 25616 & 9.63496 & 0.85 & 3.96 & 0.1 & 10.49 & 0.052 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 & -8.91035092453 & -10.2985196483 & -9.96054355111 \\
EGS & 23817 & 9.74603 & 0.858 & 5.28 & 0.2 & 10.82 & 0.11 & 0.0194 & 42.6905466956 & 44.3942368546 & 1.04744936838 & 43.1010953298 & 44.6263691623 & -1.17259166152 & -8.69858063162 & -10.0867493554 & -9.74877325819 \\
EGS & 2936 & 9.6241 & 0.864 & 3.96 & 0.1 & 10.42 & 0.043 & 0.0031 & 41.4941066595 & 44.0013965617 & 0.654609075465 & 42.6955021576 & 44.119377697 & -1.67958312682 & -8.96949092454 & -10.3576596483 & -10.0196835511 \\
EGS & 23959 & 9.58863 & 0.875 & 4.62 & 0.1 & 10.74 & 0.042 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & -8.61402092453 & -10.0021896483 & -9.66421355111 \\
EGS & 8724 & 9.84465 & 0.877 & 4.62 & 0.1 & 10.8 & 0.102 & 0.0031 & 41.8741066595 & 44.3813965617 & 1.03460907546 & 42.8243221576 & 44.280402697 & -1.51855812682 & -8.81004092454 & -10.1982096483 & -9.86023355111 \\
EGS & 26698 & 9.28291 & 0.879 & 3.96 & 0.4 & 10.31 & 0.047 & 0.0916 & 42.8546404394 & 43.8510220912 & 0.504234605014 & 43.1567231089 & 44.6959038862 & -1.10305693761 & -8.77867539499 & -10.1668441187 & -9.82886802156 \\
EGS & 23458 & 10.0766 & 0.881 & 4.62 & 0.1 & 11.32 & 0.245 & 0.0031 & 42.3941066595 & 44.9013965617 & 1.55460907546 & 43.0006021576 & 44.500752697 & -1.29820812682 & -8.52199092454 & -9.91015964829 & -9.57218355111 \\
EGS & 26936 & 9.48625 & 0.883 & 3.96 & 0.2 & 10.57 & 0.059 & 0.0194 & 42.4405466956 & 44.1442368546 & 0.797449368377 & 43.0163453298 & 44.5204316623 & -1.27852916152 & -8.68880063162 & -10.0769693554 & -9.73899325819 \\
EGS & 28919 & 10.9547 & 0.8839 & 4.62 & 0.2 & 11.22 & 0.474 & 0.0194 & 43.0905466956 & 44.7942368546 & 1.44744936838 & 43.2366953298 & 44.7958691623 & -1.00309166152 & -9.50725063162 & -10.8954193554 & -10.5574432582 \\
EGS & 26924 & 10.4082 & 0.888 & 4.62 & 0.1 & 10.9 & 0.139 & 0.0031 & 41.9741066595 & 44.4813965617 & 1.13460907546 & 42.8582221576 & 44.322777697 & -1.47618312682 & -9.27359092454 & -10.6617596483 & -10.3237835511 \\
EGS & 15079 & 9.91951 & 0.897 & 4.62 & 0.2 & 10.68 & 0.141 & 0.0194 & 42.5505466956 & 44.2542368546 & 0.907449368377 & 43.0536353298 & 44.5670441623 & -1.23191666152 & -9.01206063162 & -10.4002293554 & -10.0622532582 \\
EGS & 2147 & 9.59844 & 0.901 & 4.62 & 0.1 & 10.39 & 0.039 & 0.0031 & 41.4641066595 & 43.9713965617 & 0.624609075465 & 42.6853321576 & 44.106665197 & -1.69229562682 & -8.97383092454 & -10.3619996483 & -10.0240235511 \\
EGS & 24341 & 10.0448 & 0.901 & 4.62 & 0.2 & 10.86 & 0.114 & 0.0194 & 42.7305466956 & 44.4342368546 & 1.08744936838 & 43.1146553298 & 44.6433191623 & -1.15564166152 & -8.95735063162 & -10.3455193554 & -10.0075432582 \\
EGS & 20708 & 10.1278 & 0.9075 & 4.62 & 0.3 & 10.94 & 0.13 & 0.0489 & 43.2120538248 & 44.5009711474 & 1.15418366114 & 43.2778862466 & 44.8473578083 & -0.951603015524 & -8.97361633886 & -10.3617850626 & -10.0238089654 \\
EGS & 1898 & 9.66469 & 0.908 & 4.62 & 0.3 & 10.71 & 0.111 & 0.0489 & 42.9820538248 & 44.2709711474 & 0.924183661141 & 43.1999162466 & 44.7498953083 & -1.04906551552 & -8.74050633886 & -10.1286750626 & -9.79069896543 \\
