\begin{table}
\begin{tabular}{ccccccccccccccccccccccccccc}
field_1 & ID & zbest_candels & gfit_n_h & SD_reliable & Irr_reliable & Compact_reliable & s14_RA & s14_Dec & visualHCPG_f_spheroid & visualHCPG_f_disk & visualHCPG_f_irr & visualHCPG_f_ps & field_2 & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
GDS & 10664 & 1.68 & 0.22 & 0.0 & 0.42 & 0.0 & 53.09 & -27.81 & 0.0 & 0.99 & 0.23 & 0.01 & GDS & 9.72 & 1.677 & 4.62 & 0.2 & 10.38 & 0.014 & 0.0194 & 42.2505466956 & 43.9542368546 & 0.607449368377 & 42.9519353298 & 44.4399191623 & -1.35904166152 \\
GDS & 10679 & 1.09 & 0.6 & 0.0 & 0.5 & 0.0 & 53.04 & -27.81 & 0.05 & 0.77 & 0.7 & 0.0 & GDS & 9.52 & 1.094 & 5.94 & 0.1 & 10.52 & 0.04 & 0.0031 & 41.5941066595 & 44.1013965617 & 0.754609075465 & 42.7294021576 & 44.161752697 & -1.63720812682 \\
GDS & 10685 & 1.7 & 0.62 & 0.0 & 0.25 & 0.0 & 53.09 & -27.81 & 0.07 & 0.87 & 0.21 & 0.04 & GDS & 9.58 & 1.703 & 4.62 & 0.16 & 10.99 & 0.042 & 0.011296 & 42.6256696494 & 44.5678112569 & 1.22102377065 & 43.0791020111 & 44.5988775139 & -1.20008330986 \\
GDS & 10715 & 0.96 & 1.41 & 0.79 & 0.0 & 0.0 & 53.17 & -27.81 & 0.91 & 0.35 & 0.0 & 0.09 & GDS & 9.38 & 0.963 & 3.96 & 0.2 & 10.35 & 0.035 & 0.0194 & 42.2205466956 & 43.9242368546 & 0.577449368377 & 42.9417653298 & 44.4272066623 & -1.37175416152 \\
GDS & 10790 & 1.67 & 1.86 & 0.3 & 0.33 & 0.0 & 53.19 & -27.81 & 0.47 & 0.88 & 0.39 & 0.0 & GDS & 9.8 & 1.67 & 3.96 & 0.2 & 10.91 & 0.045 & 0.0194 & 42.7805466956 & 44.4842368546 & 1.13744936838 & 43.1316053298 & 44.6645066623 & -1.13445416152 \\
GDS & 10829 & 2.05 & 1.17 & 0.0 & 0.0 & 0.0 & 53.1 & -27.81 & 0.11 & 1.0 & 0.01 & 0.0 & GDS & 10.16 & 2.046 & 5.94 & 0.4 & 10.96 & 0.04 & 0.0916 & 43.5046404394 & 44.5010220912 & 1.15423460501 & 43.3770731089 & 44.9713413862 & -0.827619437611 \\
GDS & 10908 & 1.78 & 0.3 & 0.0 & 0.3 & 0.0 & 53.06 & -27.81 & 0.0 & 0.94 & 0.24 & 0.0 & GDS & 10.07 & 1.783 & 5.28 & 0.2 & 11.12 & 0.073 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 \\
GDS & 10916 & 1.36 & 1.59 & 0.75 & 0.25 & 0.0 & 53.08 & -27.81 & 0.86 & 0.33 & 0.51 & 0.01 & GDS & 9.87 & 1.357 & 4.62 & 0.1 & 10.67 & 0.022 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 \\
GDS & 11032 & 1.25 & 0.9 & 0.46 & 0.08 & 0.0 & 53.15 & -27.81 & 0.53 & 0.83 & 0.03 & 0.0 & GDS & 10.0 & 1.245 & 4.62 & 0.1 & 10.81 & 0.057 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 \\
GDS & 11057 & 2.23 & 1.82 & 0.65 & 0.33 & 0.17 & 53.14 & -27.81 & 0.68 & 0.65 & 0.21 & 0.14 & GDS & 9.65 & 2.229 & 5.28 & 0.2 & 11.03 & 0.022 & 0.0194 & 42.9005466956 & 44.6042368546 & 1.25744936838 & 43.1722853298 & 44.7153566623 & -1.08360416152 \\
GDS & 11058 & 1.09 & 0.2 & 0.0 & 0.33 & 0.0 & 53.15 & -27.81 & 0.03 & 0.82 & 0.35 & 0.0 & GDS & 9.57 & 1.023 & 4.62 & 0.06 & 10.14 & 0.022 & 0.000276 & 40.1636540478 & 43.7226250839 & 0.375837597645 & 42.2444787222 & 43.5555984027 & -2.24336242105 \\
GDS & 11123 & 1.88 & 1.48 & 0.38 & 0.0 & 0.0 & 53.13 & -27.81 & 0.36 & 0.92 & 0.1 & 0.01 & GDS & 9.88 & 1.8828 & 5.28 & 0.4 & 10.58 & 0.023 & 0.0916 & 43.1246404394 & 44.1210220912 & 0.774234605014 & 43.2482531089 & 44.8103163862 & -0.988644437611 \\
GDS & 11132 & 2.14 & 3.07 & 0.0 & 0.0 & 0.0 & 53.1 & -27.81 & 0.43 & 1.0 & 0.02 & 0.0 & GDS & 10.92 & 2.139 & 5.94 & 0.1 & 11.38 & 0.117 & 0.0031 & 42.4541066595 & 44.9613965617 & 1.61460907546 & 43.0209421576 & 44.526177697 & -1.27278312682 \\
GDS & 11143 & 1.62 & 0.88 & 0.0 & 0.0 & 0.0 & 53.22 & -27.81 & 0.33 & 0.82 & 0.13 & 0.04 & GDS & 9.46 & 1.624 & 3.96 & 0.2 & 10.5 & 0.017 & 0.0194 & 42.3705466956 & 44.0742368546 & 0.727449368377 & 42.9926153298 & 44.4907691623 & -1.30819166152 \\
GDS & 11160 & 1.99 & 2.11 & 0.96 & 0.08 & 0.0 & 53.11 & -27.81 & 0.92 & 0.12 & 0.03 & 0.21 & GDS & 9.89 & 1.993 & 3.5 & 0.2 & 11.26 & 0.08 & 0.0194 & 43.1305466956 & 44.8342368546 & 1.48744936838 & 43.2502553298 & 44.8128191623 & -0.986141661519 \\
GDS & 11240 & 2.0 & 0.74 & 0.0 & 0.0 & 0.0 & 53.12 & -27.81 & 0.09 & 1.0 & 0.0 & 0.0 & GDS & 11.07 & 1.995 & 5.28 & 0.2 & 11.93 & 0.435 & 0.0194 & 43.8005466956 & 45.5042368546 & 2.15744936838 & 43.4773853298 & 45.0967316623 & -0.702229161519 \\
GDS & 11298 & 2.07 & 1.49 & -99.0 & -99.0 & -99.0 & 53.17 & -27.81 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.35 & 2.069 & 4.62 & 0.3 & 11.55 & 0.069 & 0.0489 & 43.8220538248 & 45.1109711474 & 1.76418366114 & 43.4846762466 & 45.1058453083 & -0.693115515524 \\
GDS & 11398 & 1.74 & 0.91 & 0.06 & 0.42 & 0.0 & 53.09 & -27.81 & 0.27 & 0.76 & 0.49 & 0.02 & GDS & 9.5 & 1.7365 & 4.62 & 0.2 & 10.72 & 0.019 & 0.0194 & 42.5905466956 & 44.2942368546 & 0.947449368377 & 43.0671953298 & 44.5839941623 & -1.21496666152 \\
GDS & 11516 & 1.17 & 0.88 & 0.3 & 0.0 & 0.0 & 53.13 & -27.81 & 0.49 & 0.95 & 0.05 & 0.0 & GDS & 9.94 & 1.173 & 4.62 & 0.1 & 10.53 & 0.039 & 0.0031 & 41.6041066595 & 44.1113965617 & 0.764609075465 & 42.7327921576 & 44.165990197 & -1.63297062682 \\
GDS & 11555 & 0.99 & 1.43 & 0.4 & 0.0 & 0.0 & 53.11 & -27.81 & 0.59 & 1.0 & 0.0 & 0.01 & GDS & 9.71 & 0.995 & 3.96 & 0.3 & 10.72 & 0.042 & 0.0489 & 42.9920538248 & 44.2809711474 & 0.934183661141 & 43.2033062466 & 44.7541328083 & -1.04482801552 \\
GDS & 11557 & 1.95 & 0.6 & 0.25 & 0.3 & 0.0 & 53.05 & -27.8 & 0.12 & 0.73 & 0.43 & 0.03 & GDS & 9.88 & 1.953 & 4.62 & 0.2 & 11.28 & 0.101 & 0.0194 & 43.1505466956 & 44.8542368546 & 1.50744936838 & 43.2570353298 & 44.8212941623 & -0.977666661519 \\
GDS & 11618 & 1.12 & 2.2 & -99.0 & -99.0 & -99.0 & 53.23 & -27.81 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.24 & 1.091 & 5.94 & 0.1 & 10.86 & 0.092 & 0.0031 & 41.9341066595 & 44.4413965617 & 1.09460907546 & 42.8446621576 & 44.305827697 & -1.49313312682 \\
GDS & 11629 & 1.76 & 0.7 & 1.0 & 0.9 & 0.0 & 53.17 & -27.8 & 0.11 & 0.15 & 1.0 & 0.0 & GDS & 9.53 & 1.7626 & 5.28 & 0.2 & 10.57 & 0.022 & 0.0194 & 42.4405466956 & 44.1442368546 & 0.797449368377 & 43.0163453298 & 44.5204316623 & -1.27852916152 \\
GDS & 11665 & 2.25 & 0.71 & -99.0 & -99.0 & -99.0 & 53.24 & -27.8 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.23 & 2.247 & 9.24 & 0.2 & 10.59 & 0.018 & 0.0194 & 42.4605466956 & 44.1642368546 & 0.817449368377 & 43.0231253298 & 44.5289066623 & -1.27005416152 \\
GDS & 11706 & 1.87 & 1.63 & 0.94 & 0.0 & 0.6 & 53.15 & -27.8 & 0.79 & 0.15 & 0.03 & 0.31 & GDS & 9.9 & 1.763 & 3.96 & 0.4 & 10.56 & 0.021 & 0.0916 & 43.1046404394 & 44.1010220912 & 0.754234605014 & 43.2414731089 & 44.8018413862 & -0.997119437611 \\
GDS & 12002 & 1.7 & 2.65 & 0.4 & 0.1 & 0.0 & 53.15 & -27.8 & 0.7 & 0.92 & 0.0 & 0.02 & GDS & 9.78 & 1.7 & 4.62 & 0.2 & 11.27 & 0.036 & 0.0194 & 43.1405466956 & 44.8442368546 & 1.49744936838 & 43.2536453298 & 44.8170566623 & -0.981904161519 \\
GDS & 12179 & 1.73 & 6.83 & -99.0 & -99.0 & -99.0 & 53.23 & -27.8 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.84 & 1.729 & 7.92 & 0.2 & 10.69 & 0.03 & 0.0194 & 42.5605466956 & 44.2642368546 & 0.917449368377 & 43.0570253298 & 44.5712816623 & -1.22767916152 \\
GDS & 12187 & 1.82 & 7.68 & -99.0 & -99.0 & -99.0 & 53.13 & -27.8 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.93 & 1.821 & 3.96 & 0.3 & 11.5 & 0.078 & 0.0489 & 43.7720538248 & 45.0609711474 & 1.71418366114 & 43.4677262466 & 45.0846578083 & -0.714303015524 \\
GDS & 12229 & 1.92 & 0.2 & 0.0 & 0.33 & 0.0 & 53.21 & -27.8 & 0.0 & 1.0 & 0.05 & 0.0 & GDS & 9.73 & 1.92 & 8.58 & 0.28 & 10.52 & 0.023 & 0.041944 & 42.7254148104 & 44.0841358608 & 0.737348374537 & 43.1129156207 & 44.6411445259 & -1.15781629788 \\
GDS & 12304 & 1.08 & 0.58 & 0.19 & 0.2 & 0.0 & 53.08 & -27.8 & 0.31 & 0.91 & 0.17 & 0.02 & GDS & 9.46 & 1.0793 & 3.96 & 0.1 & 10.28 & 0.026 & 0.0031 & 41.3541066595 & 43.8613965617 & 0.514609075465 & 42.6480421576 & 44.060052697 & -1.73890812682 \\
GDS & 12411 & 1.8 & 0.86 & -99.0 & -99.0 & -99.0 & 53.14 & -27.8 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.94 & 1.798 & 5.28 & 0.2 & 10.87 & 0.04 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 \\
GDS & 12455 & 1.3 & 0.48 & 0.0 & 0.9 & 0.0 & 53.14 & -27.8 & 0.02 & 0.22 & 1.0 & 0.0 & GDS & 8.91 & 1.304 & 4.62 & 0.33 & 10.37 & 0.017 & 0.060324 & 42.733235097 & 43.9257231005 & 0.578935614271 & 43.1155666979 & 44.6444583723 & -1.15450245145 \\
GDS & 12466 & 1.62 & 8.0 & -99.0 & -99.0 & -99.0 & 53.23 & -27.8 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.29 & 1.625 & 3.96 & 0.2 & 11.04 & 0.055 & 0.0194 & 42.9105466956 & 44.6142368546 & 1.26744936838 & 43.1756753298 & 44.7195941623 & -1.07936666152 \\
GDS & 12473 & 1.38 & 1.03 & 0.8 & 0.0 & 0.0 & 53.12 & -27.8 & 0.8 & 0.52 & 0.06 & 0.02 & GDS & 10.45 & 1.383 & 4.62 & 0.3 & 11.4 & 0.14 & 0.0489 & 43.6720538248 & 44.9609711474 & 1.61418366114 & 43.4338262466 & 45.0422828083 & -0.756678015524 \\
GDS & 12526 & 1.9 & 0.8 & 0.08 & 0.5 & 0.0 & 53.11 & -27.8 & 0.25 & 0.7 & 0.54 & 0.0 & GDS & 10.27 & 1.897 & 5.28 & 0.1 & 10.99 & 0.151 & 0.0031 & 42.0641066595 & 44.5713965617 & 1.22460907546 & 42.8887321576 & 44.360915197 & -1.43804562682 \\
GDS & 12537 & 1.74 & 1.45 & 0.0 & 0.0 & 0.0 & 53.06 & -27.8 & 0.19 & 1.0 & 0.12 & 0.0 & GDS & 10.71 & 1.742 & 5.28 & 0.2 & 11.35 & 0.193 & 0.0194 & 43.2205466956 & 44.9242368546 & 1.57744936838 & 43.2807653298 & 44.8509566623 & -0.948004161519 \\
GDS & 12551 & 1.2 & 2.61 & -99.0 & -99.0 & -99.0 & 53.23 & -27.8 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.94 & 1.198 & 3.96 & 0.1 & 10.98 & 0.045 & 0.0031 & 42.0541066595 & 44.5613965617 & 1.21460907546 & 42.8853421576 & 44.356677697 & -1.44228312682 \\
GDS & 12623 & 2.16 & 2.23 & 0.0 & 0.5 & 0.0 & 53.11 & -27.8 & 0.24 & 0.91 & 0.32 & 0.01 & GDS & 9.82 & 2.1621 & 5.94 & 0.4 & 11.71 & 0.017 & 0.0916 & 44.2546404394 & 45.2510220912 & 1.90423460501 & 43.6313231089 & 45.2891538862 & -0.509806937611 \\
GDS & 12624 & 2.0 & 1.41 & 0.5 & 0.8 & 0.0 & 53.17 & -27.8 & 0.11 & 0.22 & 1.0 & 0.0 & GDS & 10.72 & 1.998 & 3.96 & 0.2 & 11.92 & 0.41 & 0.0194 & 43.7905466956 & 45.4942368546 & 2.14744936838 & 43.4739953298 & 45.0924941623 & -0.706466661519 \\
GDS & 12632 & 1.38 & 0.74 & 0.25 & 0.5 & 0.0 & 53.2 & -27.8 & 0.07 & 0.63 & 0.49 & 0.02 & GDS & 8.94 & 1.382 & 5.94 & 0.2 & 10.54 & 0.013 & 0.0194 & 42.4105466956 & 44.1142368546 & 0.767449368377 & 43.0061753298 & 44.5077191623 & -1.29124166152 \\
GDS & 12743 & 2.05 & 1.23 & 0.38 & 0.3 & 0.0 & 53.17 & -27.8 & 0.39 & 0.92 & 0.1 & 0.04 & GDS & 10.16 & 2.047 & 3.96 & 0.2 & 11.07 & 0.051 & 0.0194 & 42.9405466956 & 44.6442368546 & 1.29744936838 & 43.1858453298 & 44.7323066623 & -1.06665416152 \\
GDS & 12757 & 1.3 & 6.94 & 1.0 & 0.0 & 0.2 & 53.07 & -27.8 & 0.92 & 0.04 & 0.0 & 0.25 & GDS & 10.76 & 1.296 & 5.28 & 0.2 & 11.21 & 0.107 & 0.0194 & 43.0805466956 & 44.7842368546 & 1.43744936838 & 43.2333053298 & 44.7916316623 & -1.00732916152 \\
GDS & 12770 & 1.91 & 0.9 & 0.5 & 0.33 & 0.0 & 53.14 & -27.8 & 0.54 & 0.74 & 0.08 & 0.04 & GDS & 9.81 & 1.909 & 3.96 & 0.2 & 11.04 & 0.053 & 0.0194 & 42.9105466956 & 44.6142368546 & 1.26744936838 & 43.1756753298 & 44.7195941623 & -1.07936666152 \\
GDS & 12849 & 1.93 & 1.95 & -99.0 & -99.0 & -99.0 & 53.22 & -27.79 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.66 & 1.932 & 5.28 & 0.2 & 10.59 & 0.019 & 0.0194 & 42.4605466956 & 44.1642368546 & 0.817449368377 & 43.0231253298 & 44.5289066623 & -1.27005416152 \\
GDS & 12910 & 2.19 & 0.51 & 0.0 & 0.0 & 0.0 & 53.21 & -27.79 & 0.03 & 0.97 & 0.07 & 0.0 & GDS & 9.9 & 2.188 & 4.62 & 0.2 & 11.02 & 0.047 & 0.0194 & 42.8905466956 & 44.5942368546 & 1.24744936838 & 43.1688953298 & 44.7111191623 & -1.08784166152 \\
GDS & 13097 & 1.1 & 2.34 & 0.08 & 0.5 & 0.0 & 53.16 & -27.8 & 0.33 & 0.51 & 0.68 & 0.0 & GDS & 10.23 & 1.097 & 3.96 & 0.1 & 10.99 & 0.111 & 0.0031 & 42.0641066595 & 44.5713965617 & 1.22460907546 & 42.8887321576 & 44.360915197 & -1.43804562682 \\
GDS & 13133 & 1.67 & 2.19 & 0.31 & 0.0 & 0.2 & 53.05 & -27.79 & 0.4 & 0.76 & 0.07 & 0.05 & GDS & 9.88 & 1.285 & 6.6 & 0.2 & 11.01 & 0.043 & 0.0194 & 42.8805466956 & 44.5842368546 & 1.23744936838 & 43.1655053298 & 44.7068816623 & -1.09207916152 \\
GDS & 13218 & 2.08 & 0.31 & 0.0 & 0.0 & 0.0 & 53.21 & -27.79 & 0.0 & 0.99 & 0.06 & 0.01 & GDS & 10.23 & 2.079 & 5.28 & 0.2 & 11.18 & 0.074 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 \\
GDS & 13263 & 1.43 & 2.12 & 0.42 & 0.17 & 0.0 & 53.18 & -27.79 & 0.76 & 0.86 & 0.11 & 0.02 & GDS & 10.34 & 1.427 & 4.62 & 0.2 & 11.15 & 0.058 & 0.0194 & 43.0205466956 & 44.7242368546 & 1.37744936838 & 43.2129653298 & 44.7662066623 & -1.03275416152 \\
GDS & 13295 & 2.04 & 5.3 & 0.75 & 0.0 & 0.5 & 53.04 & -27.79 & 0.86 & 0.13 & 0.05 & 0.26 & GDS & 9.99 & 2.037 & 3.96 & 0.2 & 10.78 & 0.033 & 0.0194 & 42.6505466956 & 44.3542368546 & 1.00744936838 & 43.0875353298 & 44.6094191623 & -1.18954166152 \\
GDS & 13817 & 1.32 & 1.36 & 0.19 & 0.0 & 0.0 & 53.14 & -27.79 & 0.37 & 0.94 & 0.12 & 0.02 & GDS & 9.95 & 1.266 & 4.62 & 0.1 & 10.56 & 0.026 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 \\
GDS & 13837 & 1.36 & 1.16 & 1.0 & 0.0 & 0.33 & 53.1 & -27.79 & 0.83 & 0.41 & 0.0 & 0.26 & GDS & 9.79 & 1.357 & 3.96 & 0.06 & 10.39 & 0.018 & 0.000276 & 40.4136540478 & 43.9726250839 & 0.625837597645 & 42.3292287222 & 43.6615359027 & -2.13742492105 \\
GDS & 13942 & 1.17 & 6.58 & 0.88 & 0.75 & 0.0 & 53.06 & -27.79 & 0.44 & 0.12 & 1.0 & 0.0 & GDS & 10.42 & 1.168 & 5.28 & 0.3 & 11.44 & 0.364 & 0.0489 & 43.7120538248 & 45.0009711474 & 1.65418366114 & 43.4473862466 & 45.0592328083 & -0.739728015524 \\
GDS & 14040 & 1.88 & 0.71 & 0.5 & 0.0 & 0.0 & 53.15 & -27.79 & 0.42 & 0.8 & 0.04 & 0.02 & GDS & 9.51 & 1.8827 & 3.96 & 0.2 & 10.3 & 0.013 & 0.0194 & 42.1705466956 & 43.8742368546 & 0.527449368377 & 42.9248153298 & 44.4060191623 & -1.39294166152 \\
GDS & 14099 & 1.02 & 0.58 & 0.0 & 0.0 & 0.0 & 53.19 & -27.79 & 0.17 & 1.0 & 0.1 & 0.0 & GDS & 9.77 & 1.072 & 5.28 & 0.06 & 10.33 & 0.03 & 0.000276 & 40.3536540478 & 43.9126250839 & 0.565837597645 & 42.3088887222 & 43.6361109027 & -2.16284992105 \\
GDS & 14246 & 1.1 & 0.97 & 0.19 & 0.38 & 0.0 & 53.2 & -27.79 & 0.5 & 0.91 & 0.34 & 0.0 & GDS & 10.02 & 1.098 & 4.62 & 0.1 & 11.01 & 0.103 & 0.0031 & 42.0841066595 & 44.5913965617 & 1.24460907546 & 42.8955121576 & 44.369390197 & -1.42957062682 \\
GDS & 14263 & 1.84 & 0.62 & 0.0 & 0.5 & 0.0 & 53.16 & -27.79 & 0.06 & 0.73 & 0.76 & 0.0 & GDS & 10.4 & 1.8361 & 3.96 & 0.2 & 11.29 & 0.119 & 0.0194 & 43.1605466956 & 44.8642368546 & 1.51744936838 & 43.2604253298 & 44.8255316623 & -0.973429161519 \\
GDS & 14409 & 1.62 & 1.76 & 0.0 & 0.0 & 0.0 & 53.21 & -27.79 & 0.23 & 0.98 & 0.19 & 0.02 & GDS & 10.43 & 1.621 & 5.28 & 0.1 & 10.88 & 0.044 & 0.0031 & 41.9541066595 & 44.4613965617 & 1.11460907546 & 42.8514421576 & 44.314302697 & -1.48465812682 \\
GDS & 14447 & 2.25 & 0.98 & 0.06 & 0.38 & 0.0 & 53.07 & -27.79 & 0.15 & 0.89 & 0.59 & 0.0 & GDS & 10.16 & 1.99 & 5.28 & 0.3 & 10.98 & 0.053 & 0.0489 & 43.2520538248 & 44.5409711474 & 1.19418366114 & 43.2914462466 & 44.8643078083 & -0.934653015524 \\
GDS & 14458 & 1.38 & 0.7 & 0.06 & 0.25 & 0.0 & 53.08 & -27.79 & 0.06 & 0.98 & 0.26 & 0.0 & GDS & 10.53 & 1.379 & 5.28 & 0.3 & 11.63 & 0.123 & 0.0489 & 43.9020538248 & 45.1909711474 & 1.84418366114 & 43.5117962466 & 45.1397453083 & -0.659215515524 \\
GDS & 14602 & 1.64 & 1.65 & 0.25 & 0.0 & 0.0 & 53.06 & -27.78 & 0.81 & 0.96 & 0.0 & 0.0 & GDS & 10.16 & 1.636 & 5.28 & 0.2 & 11.52 & 0.071 & 0.0194 & 43.3905466956 & 45.0942368546 & 1.74744936838 & 43.3383953298 & 44.9229941623 & -0.875966661519 \\
GDS & 14637 & 1.04 & 1.69 & 0.44 & 0.25 & 0.0 & 53.04 & -27.79 & 0.79 & 0.83 & 0.37 & 0.0 & GDS & 10.11 & 1.045 & 5.28 & 0.2 & 11.12 & 0.164 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 \\
GDS & 14638 & 1.31 & 2.16 & 0.38 & 0.12 & 0.0 & 53.18 & -27.79 & 0.71 & 1.0 & 0.0 & 0.0 & GDS & 10.8 & 1.244 & 4.62 & 0.2 & 11.13 & 0.063 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 \\
GDS & 14782 & 1.09 & 0.93 & 0.0 & 0.5 & 0.0 & 53.22 & -27.78 & 0.06 & 0.66 & 0.59 & 0.0 & GDS & 9.55 & 1.056 & 5.28 & 0.1 & 10.74 & 0.021 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 \\
GDS & 14863 & 1.92 & 0.44 & -99.0 & -99.0 & -99.0 & 53.21 & -27.78 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 8.73 & 1.92 & 5.94 & 0.2 & 11.92 & 0.014 & 0.0194 & 43.7905466956 & 45.4942368546 & 2.14744936838 & 43.4739953298 & 45.0924941623 & -0.706466661519 \\
GDS & 14875 & 1.85 & 0.2 & 0.0 & 0.38 & 0.0 & 53.09 & -27.78 & 0.08 & 0.75 & 0.34 & 0.0 & GDS & 9.85 & 1.124 & 6.6 & 0.2 & 11.52 & 0.182 & 0.0194 & 43.3905466956 & 45.0942368546 & 1.74744936838 & 43.3383953298 & 44.9229941623 & -0.875966661519 \\
GDS & 14919 & 1.16 & 2.85 & 0.44 & 0.25 & 0.0 & 53.19 & -27.78 & 0.78 & 0.77 & 0.47 & 0.0 & GDS & 9.39 & 1.254 & 5.28 & 0.2 & 10.3 & 0.015 & 0.0194 & 42.1705466956 & 43.8742368546 & 0.527449368377 & 42.9248153298 & 44.4060191623 & -1.39294166152 \\
GDS & 14946 & 1.42 & 0.69 & 0.08 & 0.5 & 0.0 & 53.16 & -27.78 & 0.0 & 0.59 & 0.86 & 0.0 & GDS & 9.21 & 1.397 & 4.62 & 0.33 & 10.56 & 0.003 & 0.060324 & 42.923235097 & 44.1157231005 & 0.768935614271 & 43.1799766979 & 44.7249708723 & -1.07398995145 \\
GDS & 15011 & 1.57 & 1.19 & 0.12 & 0.75 & 0.0 & 53.18 & -27.78 & 0.22 & 0.73 & 0.62 & 0.0 & GDS & 9.99 & 1.57 & 4.62 & 0.3 & 11.26 & 0.075 & 0.0489 & 43.5320538248 & 44.8209711474 & 1.47418366114 & 43.3863662466 & 44.9829578083 & -0.816003015524 \\
GDS & 15012 & 1.99 & 1.1 & 0.25 & 0.38 & 0.0 & 53.17 & -27.78 & 0.12 & 0.92 & 0.41 & 0.0 & GDS & 10.22 & 1.978 & 4.62 & 0.3 & 11.62 & 0.091 & 0.0489 & 43.8920538248 & 45.1809711474 & 1.83418366114 & 43.5084062466 & 45.1355078083 & -0.663453015524 \\
GDS & 15098 & 1.21 & 3.26 & 0.0 & 0.0 & 0.0 & 53.02 & -27.78 & 0.25 & 1.0 & 0.0 & 0.0 & GDS & 11.12 & 1.212 & 5.94 & 0.2 & 11.49 & 0.146 & 0.0194 & 43.3605466956 & 45.0642368546 & 1.71744936838 & 43.3282253298 & 44.9102816623 & -0.888679161519 \\
GDS & 15122 & 1.09 & 0.66 & 0.0 & 0.12 & 0.0 & 53.17 & -27.78 & 0.0 & 0.98 & 0.27 & 0.0 & GDS & 9.92 & 1.072 & 4.62 & 0.1 & 10.52 & 0.044 & 0.0031 & 41.5941066595 & 44.1013965617 & 0.754609075465 & 42.7294021576 & 44.161752697 & -1.63720812682 \\
GDS & 15195 & 0.97 & 0.83 & 0.31 & 0.0 & 0.0 & 53.04 & -27.78 & 0.63 & 0.73 & 0.0 & 0.0 & GDS & 9.89 & 0.968 & 4.62 & 0.1 & 10.74 & 0.085 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 \\
GDS & 15209 & 1.82 & 5.96 & 0.19 & 0.12 & 0.0 & 53.1 & -27.78 & 0.59 & 0.77 & 0.12 & 0.0 & GDS & 9.29 & 1.821 & 5.94 & 0.2 & 10.53 & 0.019 & 0.0194 & 42.4005466956 & 44.1042368546 & 0.757449368377 & 43.0027853298 & 44.5034816623 & -1.29547916152 \\
GDS & 15261 & 2.01 & 0.36 & 0.0 & 0.25 & 0.0 & 53.02 & -27.78 & 0.0 & 0.99 & 0.24 & 0.0 & GDS & 11.32 & 2.009 & 5.28 & 0.3 & 12.26 & 0.612 & 0.0489 & 44.5320538248 & 45.8209711474 & 2.47418366114 & 43.7253662466 & 45.4067078083 & -0.392253015524 \\
GDS & 15336 & 1.04 & 0.89 & 0.19 & 0.0 & 0.0 & 53.18 & -27.78 & 0.48 & 0.99 & 0.06 & 0.0 & GDS & 10.55 & 1.036 & 3.5 & 0.1 & 11.29 & 0.221 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 \\
GDS & 15379 & 1.86 & 0.54 & -99.0 & -99.0 & -99.0 & 53.09 & -27.78 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.89 & 1.862 & 5.28 & 0.1 & 10.72 & 0.031 & 0.0031 & 41.7941066595 & 44.3013965617 & 0.954609075465 & 42.7972021576 & 44.246502697 & -1.55245812682 \\
