\begin{table}
\begin{tabular}{ccccccccccccccccccccccccccc}
field_1 & ID & zbest_candels & gfit_n_h & SD_reliable & Irr_reliable & Compact_reliable & s14_RA & s14_Dec & visualHCPG_f_spheroid & visualHCPG_f_disk & visualHCPG_f_irr & visualHCPG_f_ps & field_2 & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
GDS & 1848 & 1.09 & 0.53 & 0.0 & 0.75 & 0.0 & 53.14 & -27.9 & 0.01 & 0.69 & 0.63 & 0.0 & GDS & 10.37 & 1.088 & 5.28 & 0.1 & 11.23 & 0.204 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 \\
GDS & 1864 & 0.82 & 1.28 & -99.0 & -99.0 & -99.0 & 53.12 & -27.9 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.61 & 0.824 & 5.28 & 0.1 & 10.68 & 0.078 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 \\
GDS & 1902 & 1.01 & 2.14 & 0.0 & 0.0 & 0.0 & 53.13 & -27.9 & 0.06 & 0.91 & 0.18 & 0.0 & GDS & 8.79 & 1.01 & 5.94 & 0.2 & 10.6 & 0.04 & 0.0194 & 42.4705466956 & 44.1742368546 & 0.827449368377 & 43.0265153298 & 44.5331441623 & -1.26581666152 \\
GDS & 1918 & 1.01 & 1.58 & 0.31 & 0.0 & 0.0 & 53.15 & -27.9 & 0.53 & 0.96 & 0.03 & 0.0 & GDS & 10.28 & 1.012 & 5.28 & 0.1 & 10.79 & 0.058 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 \\
GDS & 1929 & 1.77 & 1.03 & 0.33 & 0.0 & 0.0 & 53.24 & -27.9 & 0.41 & 0.93 & 0.12 & 0.0 & GDS & 9.88 & 1.767 & 5.28 & 0.2 & 10.89 & 0.049 & 0.0194 & 42.7605466956 & 44.4642368546 & 1.11744936838 & 43.1248253298 & 44.6560316623 & -1.14292916152 \\
GDS & 1946 & 2.0 & 8.0 & -99.0 & -99.0 & -99.0 & 53.09 & -27.9 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.57 & 1.577 & 3.5 & 0.1 & 10.99 & 0.054 & 0.0031 & 42.0641066595 & 44.5713965617 & 1.22460907546 & 42.8887321576 & 44.360915197 & -1.43804562682 \\
GDS & 2007 & 1.58 & 0.95 & 0.42 & 0.0 & 0.0 & 53.19 & -27.9 & 0.52 & 0.9 & 0.01 & 0.0 & GDS & 9.99 & 1.582 & 4.62 & 0.3 & 10.91 & 0.044 & 0.0489 & 43.1820538248 & 44.4709711474 & 1.12418366114 & 43.2677162466 & 44.8346453083 & -0.964315515524 \\
GDS & 2020 & 1.61 & 0.57 & -99.0 & -99.0 & -99.0 & 53.08 & -27.9 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.93 & 1.612 & 5.28 & 0.3 & 11.04 & 0.051 & 0.0489 & 43.3120538248 & 44.6009711474 & 1.25418366114 & 43.3117862466 & 44.8897328083 & -0.909228015524 \\
GDS & 2042 & 1.36 & 1.61 & -99.0 & -99.0 & -99.0 & 53.07 & -27.9 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.58 & 1.3589 & 4.62 & 0.3 & 11.12 & 0.043 & 0.0489 & 43.3920538248 & 44.6809711474 & 1.33418366114 & 43.3389062466 & 44.9236328083 & -0.875328015524 \\
GDS & 2046 & 1.0 & 0.93 & -99.0 & -99.0 & -99.0 & 53.11 & -27.9 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.93 & 1.001 & 5.28 & 0.1 & 10.34 & 0.04 & 0.0031 & 41.4141066595 & 43.9213965617 & 0.574609075465 & 42.6683821576 & 44.085477697 & -1.71348312682 \\
