\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
GDS & 15195 & 9.89 & 0.968 & 4.62 & 0.1 & 10.74 & 0.085 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & -8.91539092454 & -10.6840074194 & -10.4637221616 \\
GDS & 19400 & 10.11 & 0.976 & 4.62 & 0.3 & 10.53 & 0.241 & 0.0489 & 42.8020538248 & 44.0909711474 & 0.744183661141 & 43.1388962466 & 44.6736203083 & -1.12534051552 & -9.36581633886 & -11.1344328337 & -10.9141475759 \\
GDS & 22122 & 10.18 & 0.9783 & 4.62 & 0.1 & 11.03 & 0.115 & 0.0031 & 42.1041066595 & 44.6113965617 & 1.26460907546 & 42.9022921576 & 44.377865197 & -1.42109562682 & -8.91539092454 & -10.6840074194 & -10.4637221616 \\
GDS & 25137 & 9.72 & 0.979 & 5.94 & 0.1 & 10.11 & 0.024 & 0.0031 & 41.1841066595 & 43.6913965617 & 0.344609075465 & 42.5904121576 & 43.988015197 & -1.81094562682 & -9.37539092454 & -11.1440074194 & -10.9237221616 \\
GDS & 22040 & 10.46 & 0.979 & 3.96 & 0.1 & 11.35 & 0.192 & 0.0031 & 42.4241066595 & 44.9313965617 & 1.58460907546 & 43.0107721576 & 44.513465197 & -1.28549562682 & -8.87539092454 & -10.6440074194 & -10.4237221616 \\
GDS & 16719 & 9.77 & 0.981 & 3.96 & 0.1 & 10.27 & 0.034 & 0.0031 & 41.3441066595 & 43.8513965617 & 0.504609075465 & 42.6446521576 & 44.055815197 & -1.74314562682 & -9.26539092453 & -11.0340074194 & -10.8137221616 \\
GDS & 10299 & 10.77 & 0.984 & 4.62 & 0.1 & 10.99 & 0.185 & 0.0031 & 42.0641066595 & 44.5713965617 & 1.22460907546 & 42.8887321576 & 44.360915197 & -1.43804562682 & -9.54539092454 & -11.3140074194 & -11.0937221616 \\
GDS & 24943 & 10.09 & 0.988 & 5.28 & 0.1 & 10.62 & 0.071 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 & -9.23539092454 & -11.0040074194 & -10.7837221616 \\
GDS & 11555 & 9.71 & 0.995 & 3.96 & 0.3 & 10.72 & 0.042 & 0.0489 & 42.9920538248 & 44.2809711474 & 0.934183661141 & 43.2033062466 & 44.7541328083 & -1.04482801552 & -8.77581633886 & -10.5444328337 & -10.3241475759 \\
GDS & 22059 & 10.45 & 0.995 & 4.62 & 0.2 & 11.14 & 0.119 & 0.0194 & 43.0105466956 & 44.7142368546 & 1.36744936838 & 43.2095753298 & 44.7619691623 & -1.03699166152 & -9.08255063162 & -10.8511671264 & -10.6308818686 \\
GDS & 2046 & 9.93 & 1.001 & 5.28 & 0.1 & 10.34 & 0.04 & 0.0031 & 41.4141066595 & 43.9213965617 & 0.574609075465 & 42.6683821576 & 44.085477697 & -1.71348312682 & -9.35539092453 & -11.1240074194 & -10.9037221616 \\
