\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
UDS & 24126 & 9.95279244304 & 0.769 & 3.5 & 0.6 & 10.28 & 0.066 & 0.2166 & 43.198403418 & 43.7567285329 & 0.409941046678 & 43.2732587587 & 44.8415734484 & -0.95738737542 & -9.54285139636 & -10.9310201201 & -10.5930440229 \\
UDS & 13264 & 9.66745295289 & 0.771 & 4.6199999 & 0.1 & 10.74 & 0.099 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & -8.69284387743 & -10.0810126012 & -9.743036504 \\
UDS & 20939 & 9.67486114074 & 0.771 & 5.2800002 & 0.1 & 10.55 & 0.054 & 0.0031 & 41.6241066595 & 44.1313965617 & 0.784609075465 & 42.7395721576 & 44.174465197 & -1.62449562682 & -8.89025206527 & -10.278420789 & -9.94044469185 \\
EGS & 8172 & 9.28725 & 0.7764 & 5.28 & 0.1 & 10.27 & 0.033 & 0.0031 & 41.3441066595 & 43.8513965617 & 0.504609075465 & 42.6446521576 & 44.055815197 & -1.74314562682 & -8.78264092454 & -10.1708096483 & -9.83283355111 \\
EGS & 27292 & 10.12 & 0.777 & 3.96 & 0.2 & 10.83 & 0.19 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & -9.06255063162 & -10.4507193554 & -10.1127432582 \\
UDS & 12222 & 10.8463371121 & 0.7778 & 4.6199999 & 0.2 & 10.97 & 0.141 & 0.0194 & 42.8405466956 & 44.5442368546 & 1.19744936838 & 43.1519453298 & 44.6899316623 & -1.10902916152 & -9.64888774372 & -11.0370564675 & -10.6990803703 \\
EGS & 9041 & 9.64935 & 0.778 & 3.96 & 0.1 & 10.66 & 0.077 & 0.0031 & 41.7341066595 & 44.2413965617 & 0.894609075465 & 42.7768621576 & 44.221077697 & -1.57788312682 & -8.75474092453 & -10.1429096483 & -9.80493355111 \\
EGS & 25930 & 9.51376 & 0.778 & 4.62 & 0.1 & 10.42 & 0.046 & 0.0031 & 41.4941066595 & 44.0013965617 & 0.654609075465 & 42.6955021576 & 44.119377697 & -1.67958312682 & -8.85915092453 & -10.2473196483 & -9.90934355111 \\
UDS & 17014 & 10.1271047984 & 0.779 & 4.6199999 & 0.1 & 11.29 & 0.334 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 & -8.60249572294 & -9.99066444669 & -9.65268834951 \\
EGS & 25580 & 10.2755 & 0.779 & 4.62 & 0.3 & 11.21 & 0.198 & 0.0489 & 43.4820538248 & 44.7709711474 & 1.42418366114 & 43.3694162466 & 44.9617703083 & -0.837190515524 & -8.85131633886 & -10.2394850626 & -9.90150896543 \\
